URL,Schema Type,Severity,Property,Why It Matters
https://neomwellbeing.com/,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 869127 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 467664 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 341295 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 481334 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 347406 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 470406 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 342131 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 485947 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 351424 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 471688 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 343195 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 465220 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 341280 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/happiness-standard-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 489972 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/happiness-standard-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 351864 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/happiness-standard-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/happiness-standard-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/happiness-standard-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/happiness-standard-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/happiness-standard-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/happiness-standard-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/happiness-standard-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/happiness-travel-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 466700 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/happiness-travel-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 341188 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/happiness-travel-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/happiness-travel-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/happiness-travel-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/happiness-travel-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/happiness-travel-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/happiness-travel-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/happiness-travel-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/perfect-nights-sleep-travel-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 469405 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
