URL,Marker,Served Present,Rendered Present,Injected by JS,In Head,Served Offset (bytes),Reachable <250KB
https://www.leica-microsystems.com/,jsonLd,Yes,Yes,No,Yes,21121,Yes
https://www.leica-microsystems.com/,microdata,Yes,Yes,No,No,236456,Yes
https://www.leica-microsystems.com/,openGraph,Yes,Yes,No,Yes,1207,Yes
https://www.leica-microsystems.com/,twitterCard,Yes,Yes,No,Yes,1921,Yes
https://www.leica-microsystems.com/,mxGovernance,No,No,No,No,,No
https://www.leica-microsystems.com/,canonical,Yes,Yes,No,Yes,20209,Yes
https://www.leica-microsystems.com/,discoveryLinks,No,No,No,No,,No
https://www.leica-microsystems.com/,languageAttr,Yes,Yes,No,Yes,16,Yes
https://www.leica-microsystems.com/,skipLink,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/,jsonLd,Yes,Yes,No,Yes,21301,Yes
https://www.leica-microsystems.com/science-lab/,microdata,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/,openGraph,Yes,Yes,No,Yes,1202,Yes
https://www.leica-microsystems.com/science-lab/,twitterCard,Yes,Yes,No,Yes,1878,Yes
https://www.leica-microsystems.com/science-lab/,mxGovernance,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/,canonical,Yes,Yes,No,Yes,20178,Yes
https://www.leica-microsystems.com/science-lab/,discoveryLinks,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/,languageAttr,Yes,Yes,No,Yes,16,Yes
https://www.leica-microsystems.com/science-lab/,skipLink,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/industrial/a-guide-to-polarized-light-microscopy/,jsonLd,Yes,Yes,No,Yes,20879,Yes
https://www.leica-microsystems.com/science-lab/industrial/a-guide-to-polarized-light-microscopy/,microdata,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/industrial/a-guide-to-polarized-light-microscopy/,openGraph,Yes,Yes,No,Yes,940,Yes
https://www.leica-microsystems.com/science-lab/industrial/a-guide-to-polarized-light-microscopy/,twitterCard,Yes,Yes,No,Yes,1428,Yes
https://www.leica-microsystems.com/science-lab/industrial/a-guide-to-polarized-light-microscopy/,mxGovernance,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/industrial/a-guide-to-polarized-light-microscopy/,canonical,Yes,Yes,No,Yes,20311,Yes
https://www.leica-microsystems.com/science-lab/industrial/a-guide-to-polarized-light-microscopy/,discoveryLinks,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/industrial/a-guide-to-polarized-light-microscopy/,languageAttr,Yes,Yes,No,Yes,16,Yes
https://www.leica-microsystems.com/science-lab/industrial/a-guide-to-polarized-light-microscopy/,skipLink,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/industrial/he-staining-in-microscopy/,jsonLd,Yes,Yes,No,Yes,21133,Yes
https://www.leica-microsystems.com/science-lab/industrial/he-staining-in-microscopy/,microdata,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/industrial/he-staining-in-microscopy/,openGraph,Yes,Yes,No,Yes,1143,Yes
https://www.leica-microsystems.com/science-lab/industrial/he-staining-in-microscopy/,twitterCard,Yes,Yes,No,Yes,1823,Yes
https://www.leica-microsystems.com/science-lab/industrial/he-staining-in-microscopy/,mxGovernance,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/industrial/he-staining-in-microscopy/,canonical,Yes,Yes,No,Yes,20613,Yes
https://www.leica-microsystems.com/science-lab/industrial/he-staining-in-microscopy/,discoveryLinks,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/industrial/he-staining-in-microscopy/,languageAttr,Yes,Yes,No,Yes,16,Yes
https://www.leica-microsystems.com/science-lab/industrial/he-staining-in-microscopy/,skipLink,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/life-science/a-guide-to-darkfield-microscopes/,jsonLd,Yes,Yes,No,Yes,21358,Yes
https://www.leica-microsystems.com/science-lab/life-science/a-guide-to-darkfield-microscopes/,microdata,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/life-science/a-guide-to-darkfield-microscopes/,openGraph,Yes,Yes,No,Yes,894,Yes
https://www.leica-microsystems.com/science-lab/life-science/a-guide-to-darkfield-microscopes/,twitterCard,Yes,Yes,No,Yes,1305,Yes
https://www.leica-microsystems.com/science-lab/life-science/a-guide-to-darkfield-microscopes/,mxGovernance,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/life-science/a-guide-to-darkfield-microscopes/,canonical,Yes,Yes,No,Yes,20106,Yes
https://www.leica-microsystems.com/science-lab/life-science/a-guide-to-darkfield-microscopes/,discoveryLinks,No,No,No,No,,No
https://www.leica-microsystems.com/science-lab/life-science/a-guide-to-darkfield-microscopes/,languageAttr,Yes,Yes,No,Yes,16,Yes
https://www.leica-microsystems.com/science-lab/life-science/a-guide-to-darkfield-microscopes/,skipLink,No,No,No,No,,No
