timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-01T06:56:07.983Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-v8-report.md results=mx-audit/results/baremetal.vc,audit-pipeline.js,high,n-a
2026-05-01T06:56:07.983Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-v8-report.md results=mx-audit/results/baremetal.vc cache=/Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,audit-pipeline.js,high,n-a
2026-05-01T06:56:07.984Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-v8-report.md template=/Users/tomcranstoun/Documents/MX-hub/mx-audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-01T06:56:08.115Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-01T06:56:08.115Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-v8-report.md,check-report-tone.js,high,n-a
2026-05-01T06:56:08.257Z,gates,0b,gate_result,Tone check passed,Exit 0 — no tone violations,check-report-tone.js,high,pass
2026-05-01T06:56:08.918Z,gates,0c,gate_result,HTML render heading count OK: 27/27,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-01T06:56:08.918Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-v8-report.md,check-template-leaks.js,high,n-a
2026-05-01T06:56:09.048Z,gates,1,gate_result,Template leak check FAILED,Exit 1 — 1 leak(s),check-template-leaks.js,high,fail
2026-05-01T06:56:09.049Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-v8-report.md --results mx-audit/results/baremetal.vc --cache /Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,verify-audit-report.js,high,n-a
2026-05-01T06:56:09.205Z,gates,2,gate_result,Deterministic verifier passed,Exit 0 — numeric=29 url=30 html=0 passed=29 skipped=31 total=60,verify-audit-report.js,high,pass
2026-05-01T06:56:09.206Z,gates,2,placeholder_fill,"Verification: 0 deterministic, 0 synthesised, 31 skipped",Deterministic ratio 0% — high LLM ratio indicates data gaps,mx-crm/outreach/2026-04-30/baremetal-vc-v8-report-verification.json,high,pass
2026-05-01T06:56:09.206Z,gates,3,gate_result,audit-fierce-critic.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-v8-report.md,audit-fierce-critic.js,high,n-a
2026-05-01T06:56:09.387Z,gates,3,gate_result,Fierce critic FAILED,Exit 1 — 1 finding(s) in categories: claim-vs-served-reachability,audit-fierce-critic.js,high,fail
2026-05-01T06:56:09.388Z,gates,4,llm_round,LLM judgment round 1 — threshold=block,Prior rounds: 0; auto-warn at 3; within cap,audit-pipeline.js,high,n-a
2026-05-01T06:56:09.388Z,gates,4,gate_result,audit-llm-judgment.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-04-30/baremetal-vc-v8-report.md results=mx-audit/results/baremetal.vc threshold=block priorRounds=0,audit-llm-judgment.js,high,n-a
2026-05-01T06:56:22.412Z,gates,4,gate_result,LLM judgment FAILED,"Exit 1 round=1 findings=4 categories: missing-in-engagement, order-mismatch, sample-vs-total-overreach",audit-llm-judgment.js,high,fail
