URL,Schema Type,Severity,Property,Why It Matters
https://www.dreambigsemi.com/resources,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://www.dreambigsemi.com/resources,WebSite,recommended,author,Site has no top-level author/owner declared
https://www.dreambigsemi.com/resources,WebSite,recommended,publisher,Site has no top-level publisher declared
https://www.dreambigsemi.com/resources,LocalBusiness,required,name,Business has no name
https://www.dreambigsemi.com/resources,LocalBusiness,recommended,telephone,Business has no phone number for click-to-call
https://www.dreambigsemi.com/resources,LocalBusiness,recommended,priceRange,"Business has no price range indicator (£, ££, £££)"
https://www.dreambigsemi.com/resources/athos-silicon-selects-dreambig-semiconductors-chiplet-hub-for-its-safety-critical-msoc-platform-designed-ground-up-for-autonomy,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://www.dreambigsemi.com/resources/athos-silicon-selects-dreambig-semiconductors-chiplet-hub-for-its-safety-critical-msoc-platform-designed-ground-up-for-autonomy,WebSite,recommended,author,Site has no top-level author/owner declared
https://www.dreambigsemi.com/resources/athos-silicon-selects-dreambig-semiconductors-chiplet-hub-for-its-safety-critical-msoc-platform-designed-ground-up-for-autonomy,WebSite,recommended,publisher,Site has no top-level publisher declared
https://www.dreambigsemi.com/resources/athos-silicon-selects-dreambig-semiconductors-chiplet-hub-for-its-safety-critical-msoc-platform-designed-ground-up-for-autonomy,LocalBusiness,required,name,Business has no name
https://www.dreambigsemi.com/resources/athos-silicon-selects-dreambig-semiconductors-chiplet-hub-for-its-safety-critical-msoc-platform-designed-ground-up-for-autonomy,LocalBusiness,recommended,telephone,Business has no phone number for click-to-call
https://www.dreambigsemi.com/resources/athos-silicon-selects-dreambig-semiconductors-chiplet-hub-for-its-safety-critical-msoc-platform-designed-ground-up-for-autonomy,LocalBusiness,recommended,priceRange,"Business has no price range indicator (£, ££, £££)"
https://www.dreambigsemi.com/resources/athos-silicon-selects-dreambig-semiconductors-chiplet-hub-for-its-safety-critical-msoc-platform-designed-ground-up-for-autonomy,Article,recommended,image,Search snippets and social shares show no thumbnail
https://www.dreambigsemi.com/resources/dreambig-featured-in-ee-times-silicon-100-for-second-year-in-a-row,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://www.dreambigsemi.com/resources/dreambig-featured-in-ee-times-silicon-100-for-second-year-in-a-row,WebSite,recommended,author,Site has no top-level author/owner declared
https://www.dreambigsemi.com/resources/dreambig-featured-in-ee-times-silicon-100-for-second-year-in-a-row,WebSite,recommended,publisher,Site has no top-level publisher declared
https://www.dreambigsemi.com/resources/dreambig-featured-in-ee-times-silicon-100-for-second-year-in-a-row,LocalBusiness,required,name,Business has no name
https://www.dreambigsemi.com/resources/dreambig-featured-in-ee-times-silicon-100-for-second-year-in-a-row,LocalBusiness,recommended,telephone,Business has no phone number for click-to-call
https://www.dreambigsemi.com/resources/dreambig-featured-in-ee-times-silicon-100-for-second-year-in-a-row,LocalBusiness,recommended,priceRange,"Business has no price range indicator (£, ££, £££)"
https://www.dreambigsemi.com/resources/dreambig-featured-in-ee-times-silicon-100-for-second-year-in-a-row,Article,recommended,image,Search snippets and social shares show no thumbnail
https://www.dreambigsemi.com/resources/how-dreambig-achieved-industry-first-3d-hbm-integration-with-synopsys,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://www.dreambigsemi.com/resources/how-dreambig-achieved-industry-first-3d-hbm-integration-with-synopsys,WebSite,recommended,author,Site has no top-level author/owner declared
https://www.dreambigsemi.com/resources/how-dreambig-achieved-industry-first-3d-hbm-integration-with-synopsys,WebSite,recommended,publisher,Site has no top-level publisher declared
https://www.dreambigsemi.com/resources/how-dreambig-achieved-industry-first-3d-hbm-integration-with-synopsys,LocalBusiness,required,name,Business has no name
https://www.dreambigsemi.com/resources/how-dreambig-achieved-industry-first-3d-hbm-integration-with-synopsys,LocalBusiness,recommended,telephone,Business has no phone number for click-to-call
https://www.dreambigsemi.com/resources/how-dreambig-achieved-industry-first-3d-hbm-integration-with-synopsys,LocalBusiness,recommended,priceRange,"Business has no price range indicator (£, ££, £££)"
https://www.dreambigsemi.com/resources/how-dreambig-achieved-industry-first-3d-hbm-integration-with-synopsys,Article,recommended,image,Search snippets and social shares show no thumbnail
https://www.dreambigsemi.com/resources/dreambig-virtual-prototyping-platform,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://www.dreambigsemi.com/resources/dreambig-virtual-prototyping-platform,WebSite,recommended,author,Site has no top-level author/owner declared
https://www.dreambigsemi.com/resources/dreambig-virtual-prototyping-platform,WebSite,recommended,publisher,Site has no top-level publisher declared
https://www.dreambigsemi.com/resources/dreambig-virtual-prototyping-platform,LocalBusiness,required,name,Business has no name
https://www.dreambigsemi.com/resources/dreambig-virtual-prototyping-platform,LocalBusiness,recommended,telephone,Business has no phone number for click-to-call
https://www.dreambigsemi.com/resources/dreambig-virtual-prototyping-platform,LocalBusiness,recommended,priceRange,"Business has no price range indicator (£, ££, £££)"
https://www.dreambigsemi.com/resources/dreambig-virtual-prototyping-platform,Article,recommended,image,Search snippets and social shares show no thumbnail
