URL,Schema Type,Severity,Property,Why It Matters
https://pentatonic.com/,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 407102 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://pentatonic.com/,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://pentatonic.com/,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://pentatonic.com/,WebSite,recommended,author,Site has no top-level author/owner declared
https://pentatonic.com/,WebSite,recommended,publisher,Site has no top-level publisher declared
https://pentatonic.com/about,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 400257 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://pentatonic.com/about,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://pentatonic.com/about,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://pentatonic.com/about,WebSite,recommended,author,Site has no top-level author/owner declared
https://pentatonic.com/about,WebSite,recommended,publisher,Site has no top-level publisher declared
https://pentatonic.com/get-in-touch,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 301360 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://pentatonic.com/get-in-touch,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://pentatonic.com/get-in-touch,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://pentatonic.com/get-in-touch,WebSite,recommended,author,Site has no top-level author/owner declared
https://pentatonic.com/get-in-touch,WebSite,recommended,publisher,Site has no top-level publisher declared
https://pentatonic.com/ecosystem,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 260969 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://pentatonic.com/ecosystem,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://pentatonic.com/ecosystem,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://pentatonic.com/ecosystem,WebSite,recommended,author,Site has no top-level author/owner declared
https://pentatonic.com/ecosystem,WebSite,recommended,publisher,Site has no top-level publisher declared
https://pentatonic.com/mastercard,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 310340 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://pentatonic.com/mastercard,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://pentatonic.com/mastercard,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://pentatonic.com/mastercard,WebSite,recommended,author,Site has no top-level author/owner declared
https://pentatonic.com/mastercard,WebSite,recommended,publisher,Site has no top-level publisher declared
