timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-09T08:36:48.173Z,collect,start,phase_start,collect phase started,url=https://dotfusion.com pages=5 client=dotfusion-com date=2026-05-09,audit-pipeline.js,high,n-a
2026-05-09T08:36:48.173Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://dotfusion.com pages=5 forceFresh=false client=dotfusion-com date=2026-05-09,audit-pipeline.js,high,n-a
2026-05-09T08:36:48.174Z,collect,1,anomaly,check-egress.js invoked,url=https://dotfusion.com,check-egress.js,high,n-a
2026-05-09T08:36:48.338Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-05-09T08:36:48.338Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://dotfusion.com,check-wellknown.js,high,n-a
2026-05-09T08:36:50.797Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-05-09T08:36:50.798Z,collect,3,anomaly,Results dir cleared: mx-audit/domains/dotfusion.com/results,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-05-09T08:36:51.147Z,collect,4,sitemap_discovery,Sitemap: https://dotfusion.com/sitemap.xml,Responded HTTP 200 to HEAD request,https://dotfusion.com/sitemap.xml,high,pass
2026-05-09T08:36:51.147Z,collect,5,sitemap_discovery,mx-audit/index.js invoked,entry=https://dotfusion.com/sitemap.xml pages=5 forceFresh=false,mx-audit/index.js,high,n-a
2026-05-09T08:39:11.926Z,collect,5,score_summary,Crawler complete,Exit 0,mx-audit/domains/dotfusion.com/results,high,pass
2026-05-09T08:39:11.926Z,collect,5a,sitemap_discovery,discover-urls.js invoked,url=https://dotfusion.com out=/Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/results/discovery.json,discover-urls.js,high,n-a
2026-05-09T08:39:12.346Z,collect,5a,sitemap_discovery,Sitemap grading complete,discovery.json written — SITEMAP_* placeholders will be filled at report time,/Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/results/discovery.json,high,pass
2026-05-09T08:39:12.346Z,collect,6,anomaly,error-page-test.js invoked,url=https://dotfusion.com,error-page-test.js,high,n-a
2026-05-09T08:39:12.563Z,collect,6,anomaly,Error page test passed,Exit 0,error-page-test.js,high,pass
2026-05-09T08:39:12.564Z,collect,7,agent_access,agent-access-test.js invoked,url=https://dotfusion.com out=/Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/results,agent-access-test.js,high,n-a
2026-05-09T08:39:12.878Z,collect,7,agent_access,Agent access test complete,Exit 0 — agent-access.json written to /Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/results,agent-access-test.js,high,pass
2026-05-09T08:39:12.878Z,collect,8,score_summary,check-served-rendered-gap.js invoked,resultsDir=/Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/results,check-served-rendered-gap.js,high,n-a
2026-05-09T08:39:12.944Z,collect,8,score_summary,No significant served/rendered gap,All AI suitability dimensions within 5-point threshold,mx-audit/domains/dotfusion.com/results/audit_averages.json,high,pass
2026-05-09T08:39:12.944Z,collect,9,score_summary,generate-preflight-findings.js invoked,resultsDir=/Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/results out=/Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/results/preflight-findings.json,generate-preflight-findings.js,high,n-a
2026-05-09T08:39:13.016Z,collect,9,score_summary,Preflight findings written,"Pre-digested scores, findings, schema maturity, journey, agent access — ready for LLM phases",mx-audit/domains/dotfusion.com/results/preflight-findings.json,high,pass
2026-05-09T08:39:13.016Z,collect,9,absence_finding,Schema.org coverage is partial — Decoration (SDQ 62/100),Agents can partially parse structured facts but key properties may be missing,mx-audit/domains/dotfusion.com/results/preflight-findings.json,high,warn
2026-05-09T08:39:13.016Z,collect,9,absence_finding,No llms.txt published,Agents have no machine-curated index of site content or declared access policy,mx-audit/domains/dotfusion.com/results/preflight-findings.json,high,warn
2026-05-09T08:39:13.016Z,collect,9,absence_finding,No sitemap.xml,Crawlers rely on link discovery only; unlisted pages may not be indexed,mx-audit/domains/dotfusion.com/results/preflight-findings.json,high,warn
2026-05-09T08:39:13.016Z,collect,9,absence_finding,"Security headers absent: CSP, X-Frame-Options, X-Content-Type-Options",Missing security headers increase exposure to content injection and clickjacking,mx-audit/domains/dotfusion.com/results/preflight-findings.json,high,warn
2026-05-09T08:39:13.016Z,collect,9,absence_finding,Open Graph metadata incomplete or absent,Social sharing previews and agent link summaries lack author-controlled descriptions,mx-audit/domains/dotfusion.com/results/preflight-findings.json,high,warn
2026-05-09T08:39:13.017Z,collect,10,score_summary,Collect phase complete,All automated steps finished including preflight-findings.json,audit-pipeline.js,high,pass
2026-05-09T08:39:13.017Z,collect,end,phase_end,collect phase ended — SUCCESS,All automated collection steps complete; LLM phases ready to start,audit-pipeline.js,high,pass
2026-05-09T08:39:13.086Z,report,start,phase_start,report phase started,hostname=dotfusion.com client=dotfusion-com date=2026-05-09 model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-09T08:39:13.086Z,report,0,template_selection,Template: web-audit-suite-template.md,Generic template — no commerce anchor,/Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/results/seo_scores.csv,high,pass
2026-05-09T08:39:13.088Z,report,1,placeholder_fill,infill-report.js invoked,template=web-audit-suite-template.md results=/Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/results out=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-09/.infilled/dotfusion-com.md,infill-report.js,high,n-a
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"AGENT_NAME","csv-lookup","Tom Cranstoun",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"AGENT_COMPANY","csv-lookup","CogNovaMX Ltd",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"AGENT_EMAIL","csv-lookup","info@cognovamx.com",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"AGENT_WEBSITE","csv-lookup","https://allabout.network",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"AGENT_LEGAL","csv-lookup","",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"CLIENT_NAME","csv-lookup","Dotfusion",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"CLIENT_SHORT_NAME","csv-lookup","dotfusion-com",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"CLIENT_SLUG","csv-lookup","dotfusion-com",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"CLIENT_URL","csv-lookup","https://dotfusion.com",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"CLIENT_HOSTNAME","csv-lookup","dotfusion.com",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"TARGET_URL","csv-lookup","https://dotfusion.com",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DATE","csv-lookup","9 May 2026",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DATE_YYYY_MM_DD","csv-lookup","2026-05-09",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"YEAR","csv-lookup","2026",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"YYYYMMDD","csv-lookup","20260509",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"NUMBER_OF_PAGES_AUDITED","csv-lookup","5",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"NUMBER_OF_PAGES_AUDITED_LABEL","csv-lookup","5 pages",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"NAV_PAGES","csv-lookup","1",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"CONTENT_PAGES","csv-lookup","4",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"SEO_SCORE","csv-lookup","86",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"SEO_CONTENT_SCORE","csv-lookup","85",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"NAV_PAGES_NOTE","csv-lookup","The page marked (nav) is navigational — it routes visitors t",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"URL_DEDUP_NOTE","csv-lookup","",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"URL_CANONICAL_VARIANTS_FINDING","csv-lookup","",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"A11Y_SCORE","csv-lookup","55",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"NUMBER_OF_ISSUES","csv-lookup","45",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"A11Y_TOTAL_ISSUES","csv-lookup","45",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"A11Y_TOTAL_CRITICAL","csv-lookup","45",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"WCAG_RECURRING_PATTERNS","csv-lookup"," Of these, 27 (60%) trace to 6 recurring template-level patt",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"A11Y_ADJUSTED_SCORE","csv-lookup","0",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"PERFORMANCE_SCORE","csv-lookup","945",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"PERF_SCORE","csv-lookup","85",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"LLM_SCORE","csv-lookup","100",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"LLM_RENDERED_SCORE","not-found","—",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"LLM_GAP","not-found","—",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"MSC_SCORE","csv-lookup","44",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"SDQ_SCORE","csv-lookup","62",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DR_SCORE","csv-lookup","25",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"HQ_SCORE","csv-lookup","96",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"SR_SCORE","csv-lookup","13",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"AR_SCORE","csv-lookup","79",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"PS_SCORE","csv-lookup","95",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"BCR_SCORE","csv-lookup","9",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DIV_SOUP_SERVED_SCORE","not-found","—",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DIV_SOUP_SERVED_BAND","not-found","—",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DIV_SOUP_SERVED_BARE","not-found","—",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DIV_SOUP_SERVED_TOTAL","not-found","—",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DIV_SOUP_SERVED_RATIO","not-found","—",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DIV_SOUP_SERVED_DEPTH","not-found","—",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DIV_SOUP_SERVED_TOP","not-found","—",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DIV_SOUP_RENDERED_SCORE","csv-lookup","49",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DIV_SOUP_RENDERED_BAND","csv-lookup","high",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DIV_SOUP_RENDERED_BARE","csv-lookup","23",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DIV_SOUP_RENDERED_TOTAL","csv-lookup","45",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DIV_SOUP_RENDERED_RATIO","csv-lookup","51",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DIV_SOUP_RENDERED_DEPTH","csv-lookup","4",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DIV_SOUP_RENDERED_TOP","csv-lookup","`div` (28), `div.input-container.flex` (16), `div.absolute.b",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"SEO_BAND","csv-lookup","Excellent",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"SEO_GRADE","csv-lookup","A",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"A11Y_BAND","csv-lookup","Good",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"A11Y_GRADE","csv-lookup","B",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"A11Y_ADJUSTED_BAND","csv-lookup","Needs Improvement",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"A11Y_ADJUSTED_GRADE","csv-lookup","D",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"LLM_SERVED_BAND","csv-lookup","Excellent",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"LLM_SERVED_GRADE","csv-lookup","A",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"LLM_RENDERED_BAND","csv-lookup","N/A",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"LLM_RENDERED_GRADE","csv-lookup","-",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"MSC_BAND","csv-lookup","Could Be Better",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"MSC_GRADE","csv-lookup","C",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"SDQ_BAND","csv-lookup","Good",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"SDQ_GRADE","csv-lookup","B",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DR_BAND","csv-lookup","Needs Improvement",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"DR_GRADE","csv-lookup","D",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"HQ_BAND","csv-lookup","Excellent",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"HQ_GRADE","csv-lookup","A",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"AR_BAND","csv-lookup","Excellent",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"AR_GRADE","csv-lookup","A",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"PS_BAND","csv-lookup","Excellent",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"PS_GRADE","csv-lookup","A",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"PERF_BAND","csv-lookup","Excellent",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"PERF_GRADE","csv-lookup","A",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"COMMERCE_BAND","csv-lookup","Could Be Better",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"COMMERCE_GRADE","csv-lookup","C",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"BAR_SEO","csv-lookup","`######################---`",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"BAR_A11Y","csv-lookup","`##############-----------`",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"BAR_LLM","csv-lookup","`#########################`",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"BAR_MSC","csv-lookup","`###########--------------` **(!)**",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"BAR_PS","csv-lookup","`########################-`",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"BAR_AR","csv-lookup","`####################-----`",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"BAR_PERF","csv-lookup","`#######################--`",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"GAP_CALLOUT_TEXT","csv-lookup","",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"GAP_SSR_TEXT","csv-lookup","",high,pass
2026-05-09T08:39:13Z,report,5-infill,placeholder_fill,"SDQ_PRESENCE_EARNED","csv-lookup","10",high,pass
