URL,Schema Type,Severity,Property,Why It Matters
https://neomwellbeing.com/,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 851257 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 473022 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 344088 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 486565 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 350180 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 475793 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 344943 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 491256 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 354198 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 477108 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 346007 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 470680 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 344092 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,Product,recommended,description,Product has no description; AI shopping agents have nothing to summarise
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,Product,recommended,sku,Product cannot be uniquely identified across catalogues
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,Product,recommended,brand,Product brand attribution missing
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,Offer,recommended,seller,Offer has no seller attribution
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://neomwellbeing.com/products/feel-refreshed-standard-scented-candle,Product,recommended,aggregateRating,Product has no rating signal for ranking
https://neomwellbeing.com/collections/gift-with-purchase,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 962241 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/collections/gift-with-purchase,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 342043 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/collections/body-wash,jsonLd,location,byteOffset,jsonLd is present in served HTML but starts at byte 829085 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
https://neomwellbeing.com/collections/body-wash,microdata,location,byteOffset,microdata is present in served HTML but starts at byte 333274 — past the 250 KB agent-truncation threshold. Agents with a 250 KB fetch window will not reach it.
