timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-15T13:53:14.955Z,collect,start,phase_start,collect phase started,url=https://neomwellbeing.com pages=5 client=neomwellbeing-com date=2026-05-15,audit-pipeline.js,high,n-a
2026-05-15T13:53:14.955Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://neomwellbeing.com pages=5 forceFresh=false client=neomwellbeing-com date=2026-05-15,audit-pipeline.js,high,n-a
2026-05-15T13:53:14.956Z,collect,1,anomaly,check-egress.js invoked,url=https://neomwellbeing.com,check-egress.js,high,n-a
2026-05-15T13:53:15.017Z,collect,1,anomaly,Egress anomaly detected,VPN or DNS filter may distort browser-console errors,check-egress.js,medium,warn
2026-05-15T13:53:15.017Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://neomwellbeing.com,check-wellknown.js,high,n-a
2026-05-15T13:53:15.081Z,collect,2,sitemap_discovery,Well-known probe warned,Exit 1,check-wellknown.js,high,warn
2026-05-15T13:53:15.083Z,collect,3,anomaly,Results dir cleared: mx-reginald/audit/domains/neomwellbeing.com/results,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-05-15T13:53:16.117Z,collect,4,sitemap_discovery,Sitemap: https://neomwellbeing.com/sitemap.xml,Responded HTTP 200 to HEAD request,https://neomwellbeing.com/sitemap.xml,high,pass
2026-05-15T13:53:16.117Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://neomwellbeing.com/sitemap.xml htmlPagesRequested=5 crawlCap=7 (buffer=2 for non-HTML discovery files) forceFresh=false,mx-reginald/audit/index.js,high,n-a
2026-05-15T13:53:16.191Z,collect,5,anomaly,Crawler FAILED,Exit 1,mx-reginald/audit/index.js,high,fail
2026-05-15T13:53:16.191Z,collect,end,phase_end,collect phase ended — FAILED at crawler,Crawler fatal error; subsequent steps cannot run without results,audit-pipeline.js,high,fail
