timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-16T19:29:11.590Z,collect,start,phase_start,collect phase started,url=https://allabout.network pages=5 client=allabout-network date=2026-05-16,audit-pipeline.js,high,n-a
2026-05-16T19:29:11.590Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://allabout.network pages=5 forceFresh=false client=allabout-network date=2026-05-16,audit-pipeline.js,high,n-a
2026-05-16T19:29:11.591Z,collect,1,anomaly,check-egress.js invoked,url=https://allabout.network,check-egress.js,high,n-a
2026-05-16T19:29:11.839Z,collect,1,anomaly,Egress anomaly detected,VPN or DNS filter may distort browser-console errors,check-egress.js,medium,warn
2026-05-16T19:29:11.839Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://allabout.network,check-wellknown.js,high,n-a
2026-05-16T19:29:15.233Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-05-16T19:29:15.233Z,collect,3,anomaly,Results dir cleared: audit-data/domains/allabout.network/results,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-05-16T19:29:15.520Z,collect,4,sitemap_discovery,Sitemap: https://allabout.network/sitemap.xml,Responded HTTP 200 to HEAD request,https://allabout.network/sitemap.xml,high,pass
2026-05-16T19:29:15.521Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://allabout.network/sitemap.xml htmlPagesRequested=5 crawlCap=7 (buffer=2 for non-HTML discovery files) forceFresh=false,mx-reginald/audit/index.js,high,n-a
2026-05-16T19:31:59.826Z,collect,5,score_summary,Crawler complete,Exit 0,audit-data/domains/allabout.network/results,high,pass
2026-05-16T19:31:59.827Z,collect,5a,sitemap_discovery,discover-urls.js invoked,url=https://allabout.network out=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/results/discovery.json,discover-urls.js,high,n-a
2026-05-16T19:32:01.301Z,collect,5a,sitemap_discovery,Sitemap grading complete,discovery.json written — SITEMAP_* placeholders will be filled at report time,/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/results/discovery.json,high,pass
2026-05-16T19:32:01.301Z,collect,6,anomaly,error-page-test.js invoked,url=https://allabout.network,error-page-test.js,high,n-a
2026-05-16T19:32:01.595Z,collect,6,anomaly,Error page test passed,Exit 0,error-page-test.js,high,pass
2026-05-16T19:32:01.595Z,collect,7,agent_access,agent-access-test.js invoked,url=https://allabout.network out=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/results,agent-access-test.js,high,n-a
2026-05-16T19:32:02.061Z,collect,7,agent_access,Agent access test complete,Exit 0 — agent-access.json written to /Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/results,agent-access-test.js,high,pass
2026-05-16T19:32:02.061Z,collect,8,score_summary,check-served-rendered-gap.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/results,check-served-rendered-gap.js,high,n-a
2026-05-16T19:32:02.128Z,collect,8,score_summary,No significant served/rendered gap,All AI suitability dimensions within 5-point threshold,audit-data/domains/allabout.network/results/audit_averages.json,high,pass
2026-05-16T19:32:02.129Z,collect,8a,anomaly,slowest-page-probe.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/results method=cache-busted-x3,slowest-page-probe.js,high,n-a
2026-05-16T19:32:06.125Z,collect,8a,anomaly,Slowest-page re-probe: good,"Server response time is within healthy bounds on the slowest page and a median-load page, for both first-visit and returning-visitor requests.",slowest-page-perf.json,high,pass
2026-05-16T19:32:06.125Z,collect,8b,score_summary,provenance-gap.js invoked,url=https://allabout.network resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/results cacheDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/cache,provenance-gap.js,high,n-a
2026-05-16T19:32:06.299Z,collect,8b,score_summary,Provenance-gap scan complete,"provenance-gap: 0 pages scanned, 0 self-promotional listicles, 0 year-swap pages, 0 provenance-gap cluster(s)",audit-data/domains/allabout.network/results/provenance_gap.json,high,pass
2026-05-16T19:32:06.299Z,collect,8c,score_summary,provenance-gap-llm.js invoked,url=https://allabout.network resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/results cacheDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/cache maxPages=5,provenance-gap-llm.js,high,n-a
2026-05-16T19:32:06.503Z,collect,8c,score_summary,Provenance-gap LLM pass complete,"provenance-gap-llm: 0 page(s) evaluated, 0 qualitative finding(s).",audit-data/domains/allabout.network/results/provenance_gap_llm.json,high,pass
2026-05-16T19:32:06.503Z,collect,9,score_summary,generate-preflight-findings.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/results out=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/results/preflight-findings.json,generate-preflight-findings.js,high,n-a
