timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-16T19:35:34.546Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/allabout.network/allabout-network-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/results,audit-pipeline.js,high,n-a
2026-05-16T19:35:34.547Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/allabout.network/allabout-network-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/results cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/allabout.network/cache,audit-pipeline.js,high,n-a
2026-05-16T19:35:34.549Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/allabout.network/allabout-network-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-16T19:35:34.682Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-16T19:35:34.682Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/allabout.network/allabout-network-report.md,check-report-tone.js,high,n-a
2026-05-16T19:35:34.855Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 19 violation(s); first: line 190: ""—""",check-report-tone.js,high,fail
2026-05-16T19:35:34.856Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/allabout.network/allabout-network-report.md,check-report-voice.js,high,n-a
2026-05-16T19:35:34.923Z,gates,0b-voice,gate_result,Voice consistency FAILED,Exit 1 — 5 mixed-voice section(s),check-report-voice.js,high,fail
2026-05-16T19:35:34.923Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/allabout.network/allabout-network-report.md,check-report-scope.js,high,n-a
2026-05-16T19:35:34.993Z,gates,0b-scope,gate_result,Scope check FAILED,Exit 1 — 4 mis-statement(s),check-report-scope.js,high,fail
2026-05-16T19:35:35.431Z,gates,0c,gate_result,HTML render heading count OK: 34/34,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
