Type,Bytes,Occurrences,Hash,Pages,Preview
css,1260,6,935b8a01ffcf912aa816ee79828d03dc,https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,.upsell-blocks {     margin-top: 1.5rem;   }      .upsell-card {     padding: 15
css,358,6,e3d40e8ed317295e2c9a1bdfadc3929f,https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,.yotpo-verified-image-icon{display:flex;flex-direction:column;position:relative}
css,288,6,f1ff9727a4a580f6003b1105d289e50a,https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,.yotpo-star-rating{display:flex;align-items:center}.yotpo-star-rating.yotpo-star
css,107,6,96c92ee9fc626d72a40d5fb83c9abc4f,https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,.yotpo-pagination-icon{fill:var(--text-color)}.yotpo-pagination-disabled{fill:va
css,99,6,b12041ed9abbd522d3f2fd2883396412,https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,.yotpo-star-distribution-ph{display:flex;flex-direction:column}.yotpo-review-ph{
css,77,6,037c60d7bbad2ef36ed1e214838fe71d,https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,".disabled,.yotpo-pagination-icon{fill:var(--text-color)}.disabled{opacity:.3}"
css,4683,4,34a36e9312d850b0335f382e952a1afb,https://neomwellbeing.com/; https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,#NavImageimage_BaUPxm1 .nav-block-image {       aspect-ratio: 1/1;     }     @me
js,4588,4,ee8a55bc63b16f1ba3163135d3f32b98,https://neomwellbeing.com/; https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,"{       ""assets"": {         ""themeCssFile"": null,         ""localeJsonFile"": ""loc"
css,3932,4,b5623600ec8e6f4785cc01a73b59c0ae,https://neomwellbeing.com/; https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,".yotpo-reviews-star-ratings-widget { display: flex;   a:empty, article:empty, di"
js,3908,4,6802e5fe549e1327f562467117f9b1d1,https://neomwellbeing.com/; https://neomwellbeing.com/products/complete-bliss-standard-scented-candle; https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle; https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,class PredictiveSearchMobile extends HTMLElement {         constructor() {      
