timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-16T08:14:42.198Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/neomwellbeing.com/neomwellbeing-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/neomwellbeing.com/results,audit-pipeline.js,high,n-a
2026-05-16T08:14:42.199Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/neomwellbeing.com/neomwellbeing-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/neomwellbeing.com/results cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/neomwellbeing.com/cache,audit-pipeline.js,high,n-a
2026-05-16T08:14:42.200Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/neomwellbeing.com/neomwellbeing-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-16T08:14:42.330Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-16T08:14:42.331Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/neomwellbeing.com/neomwellbeing-report.md,check-report-tone.js,high,n-a
2026-05-16T08:14:42.493Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 9 violation(s); first: line 190: ""—""",check-report-tone.js,high,fail
2026-05-16T08:14:42.493Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/neomwellbeing.com/neomwellbeing-report.md,check-report-voice.js,high,n-a
2026-05-16T08:14:42.552Z,gates,0b-voice,gate_result,Voice consistency FAILED,Exit 1 — unknown mixed-voice section(s),check-report-voice.js,high,fail
2026-05-16T08:14:42.552Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/neomwellbeing.com/neomwellbeing-report.md,check-report-scope.js,high,n-a
2026-05-16T08:14:42.612Z,gates,0b-scope,gate_result,Scope check FAILED,Exit 1 — unknown mis-statement(s),check-report-scope.js,high,fail
2026-05-16T08:14:43.353Z,gates,0c,gate_result,HTML render heading count OK: 33/33,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-16T08:14:43.353Z,gates,0d,gate_result,check-report-contradictions.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/neomwellbeing.com/neomwellbeing-report.md ok-contradictions=false,check-report-contradictions.js,high,n-a
2026-05-16T08:14:43.489Z,gates,0d,gate_result,Contradiction check passed,Exit 0 — no dimension appears with conflicting band labels,check-report-contradictions.js,high,pass
2026-05-16T08:14:43.489Z,gates,0e,gate_result,check-report-section-completeness.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/neomwellbeing.com/neomwellbeing-report.md,check-report-section-completeness.js,high,n-a
2026-05-16T08:14:43.620Z,gates,0e,gate_result,Section completeness passed,Exit 0 — all At-a-Glance priority rows have complete findings blocks,check-report-section-completeness.js,high,pass
2026-05-16T08:14:43.620Z,gates,0p,gate_result,check-report-provenance-gap.js invoked,results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/neomwellbeing.com/results warn-year-swap=false,check-report-provenance-gap.js,high,n-a
2026-05-16T08:14:43.686Z,gates,0p,gate_result,Provenance-gap gate passed,Exit 0 — no blocking provenance signals,check-report-provenance-gap.js,high,pass
2026-05-16T08:14:43.687Z,gates,0g,gate_result,check-report-section-sanity.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/neomwellbeing.com/neomwellbeing-report.md,check-report-section-sanity.js,high,n-a
2026-05-16T08:14:43.818Z,gates,0g,gate_result,Section sanity passed,Exit 0 — no orphan bullets / leaked markers / unexplained tokens,check-report-section-sanity.js,high,pass
2026-05-16T08:14:43.819Z,gates,0f,gate_result,check-report-rating-grade.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-16/neomwellbeing.com/neomwellbeing-report.md,check-report-rating-grade.js,high,n-a
2026-05-16T08:14:43.950Z,gates,0f,gate_result,Rating-grade check passed,Exit 0 — all rating/grade and score/band pairs match expected thresholds,check-report-rating-grade.js,high,pass
