Type,Bytes,Occurrences,Hash,Pages,Preview
css,107052,7,4f8ddf0f8e4204ea096f6bec9d4819b3,https://www.bollants.de/en; https://www.bollants.de/en/the-hotel/our-story; https://www.bollants.de/en/gift-vouchers-extras; https://www.bollants.de/en/before-you-arrive; https://www.bollants.de/en/the-hotel/photo-gallery; https://www.bollants.de/en/living; https://www.bollants.de/en/living/rooms-suites/details,/*! * CleanSlate *   github.com/premasagar/cleanslate * */  /*     An extreme CS
js,4732,7,a19f69d4dea4cade9ef8d9a682ff6ee1,https://www.bollants.de/en; https://www.bollants.de/en/the-hotel/our-story; https://www.bollants.de/en/gift-vouchers-extras; https://www.bollants.de/en/before-you-arrive; https://www.bollants.de/en/the-hotel/photo-gallery; https://www.bollants.de/en/living; https://www.bollants.de/en/living/rooms-suites/details,$(function () {       var $quickform  = $('.quickform');       var $arrival    =
js,3087,7,3821685f001c00f009d6e068bb5d26b8,https://www.bollants.de/en; https://www.bollants.de/en/the-hotel/our-story; https://www.bollants.de/en/gift-vouchers-extras; https://www.bollants.de/en/before-you-arrive; https://www.bollants.de/en/the-hotel/photo-gallery; https://www.bollants.de/en/living; https://www.bollants.de/en/living/rooms-suites/details,window.dataLayer = window.dataLayer || [];             function gtag() {        
css,1535,7,f1090e30e08ea1db1544858c73d148e4,https://www.bollants.de/en; https://www.bollants.de/en/the-hotel/our-story; https://www.bollants.de/en/gift-vouchers-extras; https://www.bollants.de/en/before-you-arrive; https://www.bollants.de/en/the-hotel/photo-gallery; https://www.bollants.de/en/living; https://www.bollants.de/en/living/rooms-suites/details,@font-face {         font-family: 'Roboto';         font-style: normal;         
js,643,7,73b76400cdf70b1ded9768f140ae6da6,https://www.bollants.de/en; https://www.bollants.de/en/the-hotel/our-story; https://www.bollants.de/en/gift-vouchers-extras; https://www.bollants.de/en/before-you-arrive; https://www.bollants.de/en/the-hotel/photo-gallery; https://www.bollants.de/en/living; https://www.bollants.de/en/living/rooms-suites/details,function generateUUID() {     return 'xxxxxxxx-xxxx-4xxx-yxxx-xxxxxxxxxxxx'.repl
js,423,7,fbb1edb1781b9fd5d1ce2ac58a6e62b2,https://www.bollants.de/en; https://www.bollants.de/en/the-hotel/our-story; https://www.bollants.de/en/gift-vouchers-extras; https://www.bollants.de/en/before-you-arrive; https://www.bollants.de/en/the-hotel/photo-gallery; https://www.bollants.de/en/living; https://www.bollants.de/en/living/rooms-suites/details,"!function(b,e,f,g,a,c,d){b.fbq||(a=b.fbq=function(){a.callMethod?a.callMethod.ap"
js,387,7,6ad606e9f70f6fb3eb54260c143c3c95,https://www.bollants.de/en; https://www.bollants.de/en/the-hotel/our-story; https://www.bollants.de/en/gift-vouchers-extras; https://www.bollants.de/en/before-you-arrive; https://www.bollants.de/en/the-hotel/photo-gallery; https://www.bollants.de/en/living; https://www.bollants.de/en/living/rooms-suites/details,"//<!--[CDATA[       (function(w,d,s,l,i){w[l]=w[l]||[];w[l].push({'gtm.start':  "
js,1128,3,0d2264396f3797a9a0829488474f4d67,https://www.bollants.de/en; https://www.bollants.de/en/the-hotel/our-story; https://www.bollants.de/en/living,$(document).ready(function () {                var packageswiper = new Swiper('.
js,519,2,0cf52d47874aeef231bd5b0add81b02f,https://www.bollants.de/en; https://www.bollants.de/en/living,"$(document).ready(function () { 	    var cookieName = ""popup-shown""; 	    var $p"
js,324,2,e8424a55698e7c4209ae68675cda0efc,https://www.bollants.de/en/before-you-arrive; https://www.bollants.de/en/living/rooms-suites/details,(function () {                 document.querySelectorAll('.content-accordion').f
