timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-20T20:33:22.727Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-20/www.dkd.de-de/www-dkd-de-de-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.dkd.de-de/results,audit-pipeline.js,high,n-a
2026-05-20T20:33:22.728Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-20/www.dkd.de-de/www-dkd-de-de-report.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.dkd.de-de/results cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.dkd.de-de/cache,audit-pipeline.js,high,n-a
2026-05-20T20:33:22.729Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-20/www.dkd.de-de/www-dkd-de-de-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-20T20:33:22.875Z,gates,0a,gate_result,Template coverage FAILED,Exit 1 — silent infill skips,check-template-coverage.js,high,fail
2026-05-20T20:33:22.875Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-20/www.dkd.de-de/www-dkd-de-de-report.md,check-report-tone.js,high,n-a
2026-05-20T20:33:23.054Z,gates,0b,gate_result,Tone check passed,Exit 0 — no tone violations,check-report-tone.js,high,pass
2026-05-20T20:33:23.055Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-20/www.dkd.de-de/www-dkd-de-de-report.md,check-report-voice.js,high,n-a
2026-05-20T20:33:23.133Z,gates,0b-voice,gate_result,Voice consistency passed,Exit 0 — every section voice-consistent,check-report-voice.js,high,pass
2026-05-20T20:33:23.133Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-20/www.dkd.de-de/www-dkd-de-de-report.md,check-report-scope.js,high,n-a
2026-05-20T20:33:23.207Z,gates,0b-repair,gate_result,repair-report-voice-scope.js invoked,triggered by: scope (1),repair-report-voice-scope.js,high,n-a
2026-05-20T20:40:23.914Z,gates,0b-repair,gate_result,Auto-repair applied,Re-running 0b gates,repair-report-voice-scope.js,high,pass
2026-05-20T20:40:23.914Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-20/www.dkd.de-de/www-dkd-de-de-report.md,check-report-scope.js,high,n-a
2026-05-20T20:40:23.994Z,gates,0b-scope,gate_result,Scope check passed,Exit 0 — no scope mis-statements,check-report-scope.js,high,pass
2026-05-20T20:40:24.855Z,gates,0c,gate_result,HTML render heading count OK: 32/32,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-20T20:40:24.855Z,gates,0d,gate_result,check-report-contradictions.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-20/www.dkd.de-de/www-dkd-de-de-report.md ok-contradictions=false,check-report-contradictions.js,high,n-a
2026-05-20T20:40:25.000Z,gates,0d,gate_result,Contradiction check passed,Exit 0 — no dimension appears with conflicting band labels,check-report-contradictions.js,high,pass
