timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-20T13:27:51.185Z,collect,start,phase_start,collect phase started,url=https://www.marriott.com/ pages=5 client=www-marriott-com date=2026-05-20,audit-pipeline.js,high,n-a
2026-05-20T13:27:51.185Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://www.marriott.com pages=5 forceFresh=false client=www-marriott-com date=2026-05-20,audit-pipeline.js,high,n-a
2026-05-20T13:27:51.187Z,collect,1,anomaly,check-egress.js invoked,url=https://www.marriott.com,check-egress.js,high,n-a
2026-05-20T13:27:51.379Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-05-20T13:27:51.379Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://www.marriott.com,check-wellknown.js,high,n-a
2026-05-20T13:27:51.453Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-05-20T13:27:51.453Z,collect,3,anomaly,Results dir cleared: audit-data/domains/www.marriott.com/results,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-05-20T13:27:51.454Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://www.marriott.com,check-ai-usage.js,high,n-a
2026-05-20T13:27:51.530Z,collect,3a,sitemap_discovery,AI Usage Declaration probe passed,Exit 0,check-ai-usage.js,high,pass
2026-05-20T13:27:52.896Z,collect,4,sitemap_discovery,No sitemap — falling back to root: https://www.marriott.com,"sitemap.xml, sitemap_index.xml, and robots.txt Sitemap: all returned non-200",https://www.marriott.com,medium,warn
2026-05-20T13:27:52.897Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://www.marriott.com htmlPagesRequested=5 crawlCap=7 (buffer=2 for non-HTML discovery files) forceFresh=false,mx-reginald/audit/index.js,high,n-a
2026-05-20T13:27:57.372Z,collect,5,score_summary,Crawler complete,Exit 0,audit-data/domains/www.marriott.com/results,high,pass
2026-05-20T13:27:57.372Z,collect,5a,sitemap_discovery,discover-urls.js invoked,url=https://www.marriott.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.marriott.com/results/discovery.json,discover-urls.js,high,n-a
2026-05-20T13:28:31.158Z,collect,5a,sitemap_discovery,Sitemap grading complete,discovery.json written — SITEMAP_* placeholders will be filled at report time,/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.marriott.com/results/discovery.json,high,pass
2026-05-20T13:28:31.158Z,collect,5b,sitemap_discovery,topup-pdfs-from-sitemap.js invoked,results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.marriott.com/results,topup-pdfs-from-sitemap.js,high,n-a
2026-05-20T13:28:31.230Z,collect,5b,sitemap_discovery,Sitemap PDF topup complete,no append count parsed,topup-pdfs-from-sitemap.js,high,pass
2026-05-20T13:28:31.231Z,collect,5c,sitemap_discovery,capture-pdf-sample.js invoked,url=https://www.marriott.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.marriott.com/results,capture-pdf-sample.js,high,n-a
2026-05-20T13:28:31.302Z,collect,5c,sitemap_discovery,PDF accessibility sample captured,no pdfCount parsed,capture-pdf-sample.js,high,pass
