URL,Schema Type,Severity,Property,Why It Matters
https://dotfusion.com/,Offer,required,price,Offer has no price — agents cannot compare against alternatives
https://dotfusion.com/,Offer,required,priceCurrency,Offer has no currency — agents cannot interpret the price (USD vs GBP vs EUR)
https://dotfusion.com/,Offer,recommended,availability,Offer has no in-stock signal; agents cannot tell if buyable
https://dotfusion.com/,Offer,recommended,seller,Offer has no seller attribution
https://dotfusion.com/,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://dotfusion.com/,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://dotfusion.com/,Service,required,provider,Service has no provider attribution
https://dotfusion.com/,Service,recommended,image,Service has no representative image
https://dotfusion.com/,Service,recommended,areaServed,Service has no geography declared; agents cannot filter by region
https://dotfusion.com/,Service,recommended,offers,Service has no Offer block; pricing structure invisible
https://dotfusion.com/,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://dotfusion.com/,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://dotfusion.com/,WebSite,recommended,author,Site has no top-level author/owner declared
https://dotfusion.com/services,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://dotfusion.com/services,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://dotfusion.com/services,WebSite,recommended,author,Site has no top-level author/owner declared
https://dotfusion.com/services,WebSite,recommended,publisher,Site has no top-level publisher declared
https://dotfusion.com/services,Service,recommended,image,Service has no representative image
https://dotfusion.com/services,Service,recommended,offers,Service has no Offer block; pricing structure invisible
https://dotfusion.com/services/headless-cms-agency,Service,recommended,image,Service has no representative image
https://dotfusion.com/services/headless-cms-agency,Service,recommended,offers,Service has no Offer block; pricing structure invisible
https://dotfusion.com/services/headless-cms-agency,Offer,required,price,Offer has no price — agents cannot compare against alternatives
https://dotfusion.com/services/headless-cms-agency,Offer,required,priceCurrency,Offer has no currency — agents cannot interpret the price (USD vs GBP vs EUR)
https://dotfusion.com/services/headless-cms-agency,Offer,recommended,availability,Offer has no in-stock signal; agents cannot tell if buyable
https://dotfusion.com/services/headless-cms-agency,Offer,recommended,seller,Offer has no seller attribution
https://dotfusion.com/services/headless-cms-agency,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://dotfusion.com/services/headless-cms-agency,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://dotfusion.com/services/headless-cms-agency,Service,required,provider,Service has no provider attribution
https://dotfusion.com/services/headless-cms-agency,Service,recommended,areaServed,Service has no geography declared; agents cannot filter by region
https://dotfusion.com/services/contentful-development-agency,Service,recommended,image,Service has no representative image
https://dotfusion.com/services/contentful-development-agency,Service,recommended,offers,Service has no Offer block; pricing structure invisible
https://dotfusion.com/services/contentful-development-agency,Offer,required,price,Offer has no price — agents cannot compare against alternatives
https://dotfusion.com/services/contentful-development-agency,Offer,required,priceCurrency,Offer has no currency — agents cannot interpret the price (USD vs GBP vs EUR)
https://dotfusion.com/services/contentful-development-agency,Offer,recommended,availability,Offer has no in-stock signal; agents cannot tell if buyable
https://dotfusion.com/services/contentful-development-agency,Offer,recommended,seller,Offer has no seller attribution
https://dotfusion.com/services/contentful-development-agency,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://dotfusion.com/services/contentful-development-agency,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://dotfusion.com/services/contentful-development-agency,Service,required,provider,Service has no provider attribution
https://dotfusion.com/services/contentful-development-agency,Service,recommended,areaServed,Service has no geography declared; agents cannot filter by region
https://dotfusion.com/services/storyblok-development-agency,Service,recommended,image,Service has no representative image
https://dotfusion.com/services/storyblok-development-agency,Service,recommended,offers,Service has no Offer block; pricing structure invisible
https://dotfusion.com/services/storyblok-development-agency,Offer,required,price,Offer has no price — agents cannot compare against alternatives
https://dotfusion.com/services/storyblok-development-agency,Offer,required,priceCurrency,Offer has no currency — agents cannot interpret the price (USD vs GBP vs EUR)
https://dotfusion.com/services/storyblok-development-agency,Offer,recommended,availability,Offer has no in-stock signal; agents cannot tell if buyable
https://dotfusion.com/services/storyblok-development-agency,Offer,recommended,seller,Offer has no seller attribution
https://dotfusion.com/services/storyblok-development-agency,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://dotfusion.com/services/storyblok-development-agency,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://dotfusion.com/services/storyblok-development-agency,Service,required,provider,Service has no provider attribution
https://dotfusion.com/services/storyblok-development-agency,Service,recommended,areaServed,Service has no geography declared; agents cannot filter by region
https://dotfusion.com/services/agility-cms-development-agency,Service,recommended,image,Service has no representative image
https://dotfusion.com/services/agility-cms-development-agency,Service,recommended,offers,Service has no Offer block; pricing structure invisible
https://dotfusion.com/services/agility-cms-development-agency,Offer,required,price,Offer has no price — agents cannot compare against alternatives
