timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-25T14:03:33.229Z,collect,start,phase_start,collect phase started,url=https://www.paribu.com/ pages=5 client=www-paribu-com date=2026-05-25,audit-pipeline.js,high,n-a
2026-05-25T14:03:33.229Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://www.paribu.com pages=5 forceFresh=false client=www-paribu-com date=2026-05-25,audit-pipeline.js,high,n-a
2026-05-25T14:03:33.230Z,collect,1,anomaly,check-egress.js invoked,url=https://www.paribu.com,check-egress.js,high,n-a
2026-05-25T14:03:33.443Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-05-25T14:03:33.444Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://www.paribu.com,check-wellknown.js,high,n-a
2026-05-25T14:03:41.874Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-05-25T14:03:41.875Z,collect,3,anomaly,Results dir cleared: audit-data/domains/www.paribu.com/results,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-05-25T14:03:41.875Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://www.paribu.com,check-ai-usage.js,high,n-a
2026-05-25T14:03:44.215Z,collect,3a,sitemap_discovery,AI Usage Declaration probe passed,Exit 0,check-ai-usage.js,high,pass
2026-05-25T14:03:44.708Z,collect,4,sitemap_discovery,Sitemap: https://www.paribu.com/sitemap.xml,Responded HTTP 200 to HEAD request,https://www.paribu.com/sitemap.xml,high,pass
2026-05-25T14:03:44.708Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://www.paribu.com/sitemap.xml htmlPagesRequested=5 crawlCap=7 (buffer=2 for non-HTML discovery files) forceFresh=false,mx-reginald/audit/index.js,high,n-a
2026-05-25T14:06:12.525Z,collect,5,score_summary,Crawler complete,Exit 0,audit-data/domains/www.paribu.com/results,high,pass
2026-05-25T14:06:12.525Z,collect,5a,sitemap_discovery,discover-urls.js invoked,url=https://www.paribu.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results/discovery.json,discover-urls.js,high,n-a
2026-05-25T14:06:33.580Z,collect,5a,sitemap_discovery,Sitemap grading complete,discovery.json written — SITEMAP_* placeholders will be filled at report time,/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results/discovery.json,high,pass
2026-05-25T14:06:33.580Z,collect,5b,sitemap_discovery,topup-pdfs-from-sitemap.js invoked,results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results,topup-pdfs-from-sitemap.js,high,n-a
2026-05-25T14:06:33.661Z,collect,5b,sitemap_discovery,Sitemap PDF topup complete,no append count parsed,topup-pdfs-from-sitemap.js,high,pass
2026-05-25T14:06:33.661Z,collect,5c,sitemap_discovery,capture-pdf-sample.js invoked,url=https://www.paribu.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results,capture-pdf-sample.js,high,n-a
2026-05-25T14:06:33.735Z,collect,5c,sitemap_discovery,PDF accessibility sample captured,no pdfCount parsed,capture-pdf-sample.js,high,pass
2026-05-25T14:06:33.735Z,collect,6,anomaly,error-page-test.js invoked,url=https://www.paribu.com,error-page-test.js,high,n-a
2026-05-25T14:06:34.258Z,collect,6,anomaly,Error page test passed,Exit 0,error-page-test.js,high,pass
2026-05-25T14:06:34.258Z,collect,7,agent_access,agent-access-test.js invoked,url=https://www.paribu.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results,agent-access-test.js,high,n-a
2026-05-25T14:06:56.393Z,collect,7,agent_access,Agent access test complete,Exit 0 — agent-access.json written to /Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results,agent-access-test.js,high,pass
2026-05-25T14:06:56.393Z,collect,8,score_summary,check-served-rendered-gap.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results,check-served-rendered-gap.js,high,n-a
2026-05-25T14:06:56.467Z,collect,8,score_summary,No significant served/rendered gap,All AI suitability dimensions within 5-point threshold,audit-data/domains/www.paribu.com/results/audit_averages.json,high,pass
2026-05-25T14:06:56.468Z,collect,8a,anomaly,slowest-page-probe.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results method=cache-busted-x3,slowest-page-probe.js,high,n-a
2026-05-25T14:07:11.223Z,collect,8a,anomaly,Slowest-page re-probe: acceptable,Server response time is within healthy bounds for the slowest page across both first-visit and returning-visitor views.,slowest-page-perf.json,high,warn
2026-05-25T14:07:11.223Z,collect,8b,score_summary,provenance-gap.js invoked,url=https://www.paribu.com resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results cacheDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/cache,provenance-gap.js,high,n-a
2026-05-25T14:07:11.408Z,collect,8b,score_summary,Provenance-gap scan complete,"provenance-gap: 0 pages scanned, 0 self-promotional listicles, 0 year-swap pages, 0 provenance-gap cluster(s)",audit-data/domains/www.paribu.com/results/provenance_gap.json,high,pass
2026-05-25T14:07:11.409Z,collect,8c,score_summary,provenance-gap-llm.js invoked,url=https://www.paribu.com resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results cacheDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/cache maxPages=5,provenance-gap-llm.js,high,n-a
2026-05-25T14:07:11.606Z,collect,8c,score_summary,Provenance-gap LLM pass complete,"provenance-gap-llm: 0 page(s) evaluated, 0 qualitative finding(s).",audit-data/domains/www.paribu.com/results/provenance_gap_llm.json,high,pass
2026-05-25T14:07:11.607Z,collect,9,score_summary,generate-preflight-findings.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results out=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results/preflight-findings.json,generate-preflight-findings.js,high,n-a
2026-05-25T14:07:11.682Z,collect,9,score_summary,Preflight findings written,"Pre-digested scores, findings, schema maturity, journey, agent access — ready for LLM phases",audit-data/domains/www.paribu.com/results/preflight-findings.json,high,pass
2026-05-25T14:07:11.683Z,collect,9,absence_finding,Schema.org coverage is partial — Decoration (SDQ 57/100),Agents can partially parse structured facts but key properties may be missing,audit-data/domains/www.paribu.com/results/preflight-findings.json,high,warn
2026-05-25T14:07:11.683Z,collect,9,absence_finding,No llms.txt published,Agents have no machine-curated index of site content or declared access policy,audit-data/domains/www.paribu.com/results/preflight-findings.json,high,warn
2026-05-25T14:07:11.683Z,collect,9,absence_finding,No sitemap.xml,Crawlers rely on link discovery only; unlisted pages may not be indexed,audit-data/domains/www.paribu.com/results/preflight-findings.json,high,warn
2026-05-25T14:07:11.683Z,collect,9,absence_finding,"Security headers absent: CSP, X-Frame-Options",Missing security headers increase exposure to content injection and clickjacking,audit-data/domains/www.paribu.com/results/preflight-findings.json,high,warn
2026-05-25T14:07:11.683Z,collect,10,score_summary,Collect phase complete,All automated steps finished including preflight-findings.json,audit-pipeline.js,high,pass
2026-05-25T14:07:11.683Z,collect,end,phase_end,collect phase ended — SUCCESS,All automated collection steps complete; LLM phases ready to start,audit-pipeline.js,high,pass
2026-05-25T14:07:11.762Z,report,start,phase_start,report phase started,hostname=www.paribu.com client=www-paribu-com date=2026-05-25 model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-25T14:07:11.762Z,report,0,template_selection,Template: web-audit-suite-template.md,Generic template — no commerce anchor,/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results/seo_scores.csv,high,pass
2026-05-25T14:07:11.841Z,report,0,gate_result,Template voice check passed,template=web-audit-suite-template.md,check-template-voice.js,high,pass
2026-05-25T14:07:11.841Z,report,1,placeholder_fill,infill-report.js invoked,template=web-audit-suite-template.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/.infilled/www-paribu-com.md,infill-report.js,high,n-a
2026-05-25T14:07:12.297Z,report,1,placeholder_fill,Infill FAILED,Exit 1 — Infill failed after writing skeleton (skeleton verification failure or other error) — fix before rewriting,infill-report.js,high,fail
2026-05-25T14:07:12.298Z,report,end,phase_end,report phase ended — FAILED at infill,Cannot proceed to rewrite without valid skeleton,audit-pipeline.js,high,fail
2026-05-25T14:08:56.739Z,report,start,phase_start,report phase started,hostname=www.paribu.com client=www-paribu-com date=2026-05-25 model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-25T14:08:56.739Z,report,0,template_selection,Template: web-audit-suite-template.md,Generic template — no commerce anchor,/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results/seo_scores.csv,high,pass
2026-05-25T14:08:56.816Z,report,0,gate_result,Template voice check passed,template=web-audit-suite-template.md,check-template-voice.js,high,pass
2026-05-25T14:08:56.816Z,report,1,placeholder_fill,infill-report.js invoked,template=web-audit-suite-template.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/results out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/.infilled/www-paribu-com.md,infill-report.js,high,n-a
2026-05-25T14:08:57.264Z,report,1,placeholder_fill,Infill complete,Exit 0 — skeleton at mx-outputs/audit/2026-05-25/www.paribu.com/.infilled/www-paribu-com.md,infill-report.js,high,pass
2026-05-25T14:08:57.264Z,report,2,placeholder_fill,rewrite-report.js: invoked,infilled=mx-outputs/audit/2026-05-25/www.paribu.com/.infilled/www-paribu-com.md out=mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-25T14:11:05.254Z,report,2,placeholder_fill,rewrite-report.js: complete,Exit 0 — final report at mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md,audit-pipeline.js,high,pass
2026-05-25T14:11:05.328Z,report,2.5,placeholder_fill,Engagement table regenerated,Deterministic rebuild from priority blocks — no LLM drift possible,regenerate-engagement-table.js,high,pass
2026-05-25T14:11:05.400Z,report,end,phase_end,report phase ended,infill=ok rewrite=ok,audit-pipeline.js,high,pass
