Type,Bytes,Occurrences,Hash,Pages,Preview
js,1651,3,a59b9c31626badde983ba3b097722d2e,https://www.paribu.com/; https://www.paribu.com/markets; https://www.paribu.com/auth/sign-up,"window.__NUXT__={};window.__NUXT__.config={public:{VITE_APP_URL:""https://www.par"
js,1149,3,13b22b6b60f349a4665d6c74fd52868e,https://www.paribu.com/; https://www.paribu.com/markets; https://www.paribu.com/auth/sign-up,"""use strict"";(()=>{const t=window,e=document.documentElement,c=[""dark"",""light""],"
js,366,3,3ea5ff5b862f1bf35b839c83268fe84a,https://www.paribu.com/; https://www.paribu.com/markets; https://www.paribu.com/destek,"function checkAndExpireCookies(b){var c=document.cookie.split("";"");b.forEach(fun"
js,283,3,dc5c74b4d20f7111c4af973bb51d2689,https://www.paribu.com/; https://www.paribu.com/markets; https://www.paribu.com/auth/sign-up,(function(){try{var m=localStorage.getItem('nuxt-color-mode');if(!m||m==='system
css,118,3,c2e3cfd6261c34d775a0943c0e579cba,https://www.paribu.com/; https://www.paribu.com/markets; https://www.paribu.com/auth/sign-up,html.dark-mode{background-color:#121212;color-scheme:dark}html.light-mode{backgr
js,43,3,aeec52fa51acfbd5f1af8c26b391b2ce,https://www.paribu.com/; https://www.paribu.com/markets; https://www.paribu.com/auth/sign-up,"{""imports"":{""#entry"":""/_nuxt/CD-aNdq6.js""}}"
js,60390,2,2be6748ef7ccce556084c58f1050d911,https://www.paribu.com/custody; https://www.paribu.com/custody/tr,"self.__next_f.push([1,""c:[\""$\"",\""$L16\"",null,{\""locale\"":\""tr\"",\""messages\"":{\"
js,3520,2,8fb67651190fa095b1b0da35332f9319,https://www.paribu.com/custody; https://www.paribu.com/custody/tr,"self.__next_f.push([1,""14:[[\""$\"",\""title\"",\""0\"",{\""children\"":\""Paribu Saklama"
js,3482,2,615ea0e0f78c5b6120ea4bc59ce3a671,https://www.paribu.com/custody; https://www.paribu.com/custody/tr,"self.__next_f.push([1,""0:{\""P\"":null,\""b\"":\""c5fdd3cf8aa14d085c8e8f58cd89cd91\"","
js,2385,2,e9cf065f8601592c41264224929c396a,https://www.paribu.com/custody; https://www.paribu.com/custody/tr,"self.__next_f.push([1,""1f:I[97337,[\""/turkiye/_next/static/chunks/4f85a21988bb85"
js,1837,2,f6c7e612abe54c938560ca8e27b34922,https://www.paribu.com/custody; https://www.paribu.com/custody/tr,"self.__next_f.push([1,""b:I[29306,[\""/turkiye/_next/static/chunks/4f85a21988bb850"
js,1700,2,63c32269b38973cb034c670771c99ce4,https://www.paribu.com/custody; https://www.paribu.com/custody/tr,"self.__next_f.push([1,""1:\""$Sreact.fragment\""\n3:I[19598,[\""/turkiye/_next/stati"
js,1441,2,59eb48a624ebccbf853093f568d416be,https://www.paribu.com/custody; https://www.paribu.com/custody/tr,"self.__next_f.push([1,""16:I[24877,[\""/turkiye/_next/static/chunks/4f85a21988bb85"
css,1063,2,7c978e6b3d5d15273334e88a4b54c7ca,https://www.paribu.com/custody; https://www.paribu.com/custody/tr,"@font-face {       font-family: ""ParibuSans"";       src: url(""/turkiye/fonts/Par"
js,632,2,05db8d3bdabc4b56fb4e29c9ec5ec4f2,https://www.paribu.com/custody; https://www.paribu.com/custody/tr,(function() {       try {         var bp = '/turkiye';         var raw = window.
js,452,2,efcd5284f8412066cea2981d9ce77ffc,https://www.paribu.com/custody; https://www.paribu.com/custody/tr,"self.__next_f.push([1,""15:I[56204,[\""/turkiye/_next/static/chunks/4f85a21988bb85"
js,409,2,17dc67631b78c484c23a04b351f00f9e,https://www.paribu.com/custody; https://www.paribu.com/custody/tr,"self.__next_f.push([1,""12:[[\""$\"",\""meta\"",\""0\"",{\""charSet\"":\""utf-8\""}],[\""$\"""
js,169,2,5de3f9dc7336a6089d579d32582a1169,https://www.paribu.com/custody; https://www.paribu.com/custody/tr,"self.__next_f.push([1,""25:I[27201,[\""/turkiye/_next/static/chunks/ff1a16fafef871"
js,43,2,1a6e1178e4bbf5730bd664a49dd3bc24,https://www.paribu.com/custody; https://www.paribu.com/custody/tr,(self.__next_f=self.__next_f||[]).push([0])
