timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-25T14:11:10.202Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md results=audit-data/domains/www.paribu.com/results,audit-pipeline.js,high,n-a
2026-05-25T14:11:10.203Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md results=audit-data/domains/www.paribu.com/results cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/cache,audit-pipeline.js,high,n-a
2026-05-25T14:11:10.205Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-reginald/audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-25T14:11:10.341Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-25T14:11:10.341Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md,check-report-tone.js,high,n-a
2026-05-25T14:11:10.511Z,gates,0b,gate_result,Tone check passed,Exit 0 — no tone violations,check-report-tone.js,high,pass
2026-05-25T14:11:10.511Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md,check-report-voice.js,high,n-a
2026-05-25T14:11:10.591Z,gates,0b-scope,gate_result,check-report-scope.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md,check-report-scope.js,high,n-a
2026-05-25T14:11:10.665Z,gates,0b-scope,gate_result,Scope check passed,Exit 0 — no scope mis-statements,check-report-scope.js,high,pass
2026-05-25T14:11:10.665Z,gates,0b-repair,gate_result,repair-report-voice-scope.js: invoked,triggered by: voice (1),audit-pipeline.js,high,n-a
2026-05-25T14:18:04.282Z,gates,0b-repair,gate_result,repair-report-voice-scope.js: applied,Re-running 0b gates,audit-pipeline.js,high,pass
2026-05-25T14:18:04.282Z,gates,0b-voice,gate_result,check-report-voice.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md,check-report-voice.js,high,n-a
2026-05-25T14:18:04.360Z,gates,0b-voice,gate_result,Voice consistency passed,Exit 0 — every section voice-consistent,check-report-voice.js,high,pass
2026-05-25T14:18:05.090Z,gates,0c,gate_result,HTML render heading count OK: 32/32,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-25T14:18:05.090Z,gates,0d,gate_result,check-report-contradictions.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md ok-contradictions=false,check-report-contradictions.js,high,n-a
2026-05-25T14:18:05.226Z,gates,0d,gate_result,Contradiction check passed,Exit 0 — no dimension appears with conflicting band labels,check-report-contradictions.js,high,pass
2026-05-25T14:18:05.226Z,gates,0d-pages,gate_result,check-report-finding-pages.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md results=audit-data/domains/www.paribu.com/results,check-report-finding-pages.js,high,n-a
2026-05-25T14:18:05.299Z,gates,0d-pages,gate_result,Finding-page attribution passed,Exit 0 — every named page matches Pa11y attribution,check-report-finding-pages.js,high,pass
2026-05-25T14:18:05.299Z,gates,0e,gate_result,check-report-section-completeness.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md,check-report-section-completeness.js,high,n-a
2026-05-25T14:18:05.434Z,gates,0e,gate_result,Section completeness passed,Exit 0 — all At-a-Glance priority rows have complete findings blocks,check-report-section-completeness.js,high,pass
2026-05-25T14:18:05.434Z,gates,0p,gate_result,check-report-provenance-gap.js invoked,results=audit-data/domains/www.paribu.com/results warn-year-swap=false,check-report-provenance-gap.js,high,n-a
2026-05-25T14:18:05.502Z,gates,0p,gate_result,Provenance-gap gate passed,Exit 0 — no blocking provenance signals,check-report-provenance-gap.js,high,pass
2026-05-25T14:18:05.502Z,gates,0g,gate_result,check-report-section-sanity.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md,check-report-section-sanity.js,high,n-a
2026-05-25T14:18:05.636Z,gates,0g,gate_result,Section sanity passed,Exit 0 — no orphan bullets / leaked markers / unexplained tokens,check-report-section-sanity.js,high,pass
2026-05-25T14:18:05.636Z,gates,0f,gate_result,check-report-rating-grade.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md,check-report-rating-grade.js,high,n-a
2026-05-25T14:18:05.770Z,gates,0f,gate_result,Rating-grade check passed,Exit 0 — all rating/grade and score/band pairs match expected thresholds,check-report-rating-grade.js,high,pass
2026-05-25T14:18:05.771Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md,check-template-leaks.js,high,n-a
2026-05-25T14:18:05.905Z,gates,1,gate_result,Template leak check passed,Exit 0 — no unresolved placeholders or REWRITE blocks,check-template-leaks.js,high,pass
2026-05-25T14:18:05.905Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md --results audit-data/domains/www.paribu.com/results --cache /Users/tomcranstoun/Documents/GitHub/MX-hub/audit-data/domains/www.paribu.com/cache,verify-audit-report.js,high,n-a
2026-05-25T14:18:06.107Z,gates,2,gate_result,Deterministic verifier passed,Exit 0 — numeric=29 url=35 html=0 passed=29 skipped=36 total=65,verify-audit-report.js,high,pass
2026-05-25T14:18:06.108Z,gates,2,placeholder_fill,"Verification: 0 deterministic, 0 synthesised, 36 skipped",Deterministic ratio 0% — high LLM ratio indicates data gaps,mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report-verification.json,high,pass
2026-05-25T14:18:36.193Z,gates,3,gate_result,audit-fierce-critic.js: gate passed,Exit 0,audit-pipeline.js,high,pass
2026-05-25T14:18:54.940Z,gates,4,gate_result,audit-llm-judgment.js: gate passed,Exit 0 withdrawn=5,audit-pipeline.js,high,pass
2026-05-25T14:18:54.940Z,gates,3-4-final,gate_result,Running final repair pass,Consolidates fierce-critic + llm-judgment findings into one pass before PDF,audit-pipeline.js,high,n-a
2026-05-25T14:25:58.148Z,gates,3-4-final,gate_result,repair-report-final.js: complete (report ready for PDF),Report ready for PDF,audit-pipeline.js,high,pass
2026-05-25T14:25:58.219Z,gates,3-4-final-regen,placeholder_fill,Engagement table regenerated post-repair,Deterministic rebuild after final repair,regenerate-engagement-table.js,high,pass
2026-05-25T14:25:58.219Z,gates,4b,gate_result,check-report-coherence.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md results=audit-data/domains/www.paribu.com/results,check-report-coherence.js,high,n-a
2026-05-25T14:25:58.309Z,gates,4b,gate_result,Coherence check passed,Exit 0 — no cross-section contradictions,check-report-coherence.js,high,pass
2026-05-25T14:25:58.886Z,gates,4c,gate_result,Extracted checks passed,Six gates returned 0 findings,audit-pipeline.js,high,pass
2026-05-25T14:26:11.184Z,gates,4d,gate_result,Provenance sidecar written,chain at audit-data/domains/www.paribu.com/results/provenance.json,build-provenance.js,high,pass
2026-05-25T14:26:11.185Z,gates,5,gate_result,mx.pdf.sh invoked,input=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.md output=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.pdf engine=chrome,mx.pdf.sh,high,n-a
2026-05-25T14:26:29.437Z,gates,5,gate_result,PDF generated: mx-outputs/audit/2026-05-25/www.paribu.com/www-paribu-com-report.pdf,mx.pdf.sh exited 0 — engine=chrome EAA Level 0 size=unknown,mx.pdf.sh,high,pass
2026-05-25T14:26:29.437Z,gates,6,gate_result,Gates pipeline complete,Full gate suite ran; PDF generated,audit-pipeline.js,high,pass
2026-05-25T14:26:29.438Z,gates,end,phase_end,gates phase ended — SUCCESS,All gates passed; PDF generated successfully,audit-pipeline.js,high,pass
