url,type,isNav,seo,a11y,accessibilityIssues,backend,served,rendered,loadTimeMs,msc,sdq,schemaTypes,hasOffer
https://mx.allabout.network/,nav,true,92,100,0,100,100,,368,97,95,WebSite; BreadcrumbList; ListItem; WebPage,n/a
https://mx.allabout.network/about,content,false,90,100,0,75,100,,351,97,95,AboutPage; Organization; BreadcrumbList; ListItem; WebPage,No
https://mx.allabout.network/about/about.html,content,false,100,100,0,100,100,,282,97,100,Organization; ContactPoint; CommunicateAction; EntryPoint; WebPage; WebSite; BreadcrumbList; ListItem; Person; PropertyValue,No
https://mx.allabout.network/about/contact.html,content,false,92,100,0,100,100,,212,96,95,ContactPage; BreadcrumbList; ListItem; Person; Organization; WebPage,No
https://mx.allabout.network/about/printworks.html,content,false,100,100,0,100,100,,225,100,95,Organization; ContactPoint; Offer; Service; BreadcrumbList; ListItem; Person; WebPage,Yes
https://mx.allabout.network/AI-USAGE.html,content,false,95,100,0,100,97,,232,97,91,WebPage; ImageObject; BreadcrumbList; ListItem,No
https://mx.allabout.network/blog,content,false,98,100,0,100,45,,256,97,95,Blog; BreadcrumbList; ListItem; WebPage,No
https://mx.allabout.network/blog/a-pdf-that-can-prove-itself.html,content,false,88,100,0,100,100,,211,97,93,BlogPosting; Person; Organization; WebPage,No
https://mx.allabout.network/blog/a-standard-that-knows-what-it-isnt.html,content,false,92,100,0,100,100,,245,87,93,BlogPosting; Person; Organization; WebPage,No
https://mx.allabout.network/blog/adobe-just-bought-the-dashboard.html,content,false,95,100,0,100,100,,230,97,93,BlogPosting; Person; Organization; WebPage,No
https://mx.allabout.network/blog/agent-discoverability-checklist.html,content,false,97,100,0,100,100,,205,97,93,BlogPosting; Person; Organization; WebPage,No
https://mx.allabout.network/blog/agent-readiness-scores-compared.html,content,false,92,100,0,100,100,,214,97,93,BlogPosting; Person; Organization; WebPage,No
