URL,Schema Type,Severity,Property,Why It Matters
https://mx.allabout.network/audit,Service,recommended,offers,Service has no Offer block; pricing structure invisible
https://mx.allabout.network/learn/mx-for-pdfs.html,Service,recommended,image,Service has no representative image
https://mx.allabout.network/learn/mx-for-pdfs.html,Offer,recommended,seller,Offer has no seller attribution
https://mx.allabout.network/learn/mx-for-pdfs.html,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://mx.allabout.network/learn/mx-for-pdfs.html,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://mx.allabout.network/learn/mx-for-pdfs.html,Service,recommended,offers,Service has no Offer block; pricing structure invisible
https://mx.allabout.network/reginald,Article,required,author,No attribution surface — AI agents cannot identify who wrote the article
https://mx.allabout.network/reginald,Article,recommended,image,Search snippets and social shares show no thumbnail
https://mx.allabout.network/reginald,Article,recommended,publisher,AI agents cannot identify the publishing organisation; brand attribution lost
https://mx.allabout.network/reginald,Article,recommended,dateModified,Crawlers cannot tell when the article was last updated; freshness signals stale
https://mx.allabout.network/services/certified-operator.html,Service,recommended,image,Service has no representative image
https://mx.allabout.network/services/certified-operator.html,Offer,recommended,seller,Offer has no seller attribution
https://mx.allabout.network/services/certified-operator.html,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://mx.allabout.network/services/certified-operator.html,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://mx.allabout.network/services/eaa,Service,recommended,image,Service has no representative image
https://mx.allabout.network/services/eaa,Service,recommended,offers,Service has no Offer block; pricing structure invisible
https://mx.allabout.network/tools/pdf-inspector.html,Offer,recommended,availability,Offer has no in-stock signal; agents cannot tell if buyable
https://mx.allabout.network/tools/pdf-inspector.html,Offer,recommended,seller,Offer has no seller attribution
https://mx.allabout.network/tools/pdf-inspector.html,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://mx.allabout.network/tools/pdf-inspector.html,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://mx.allabout.network/audit/,Service,recommended,offers,Service has no Offer block; pricing structure invisible
https://mx.allabout.network/reginald/,Article,required,author,No attribution surface — AI agents cannot identify who wrote the article
https://mx.allabout.network/reginald/,Article,recommended,image,Search snippets and social shares show no thumbnail
https://mx.allabout.network/reginald/,Article,recommended,publisher,AI agents cannot identify the publishing organisation; brand attribution lost
https://mx.allabout.network/reginald/,Article,recommended,dateModified,Crawlers cannot tell when the article was last updated; freshness signals stale
https://mx.allabout.network/books/download-intro,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://mx.allabout.network/books/download-intro,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://mx.allabout.network/books/download-intro,WebSite,recommended,author,Site has no top-level author/owner declared
https://mx.allabout.network/books/download-intro,WebSite,recommended,publisher,Site has no top-level publisher declared
https://mx.allabout.network/services/eaa/,Service,recommended,image,Service has no representative image
https://mx.allabout.network/services/eaa/,Service,recommended,offers,Service has no Offer block; pricing structure invisible
