timestamp,kind,hash,filename,script,stepId,label,model,inputTokens,outputTokens,systemPromptBytes,userMessageBytes,inputBytes
2026-06-01T20:04:51.794Z,input,a94248ee629e4e0e7a72cb84c84198f4063a676b1404d86fa06c21db5b35bffd,a94248ee629e4e0e7a72cb84c84198f4063a676b1404d86fa06c21db5b35bffd.md,rewrite-report,skeleton,skeleton,,,,,,135588
2026-06-01T20:04:51.796Z,prompt,f94d0399b40687cdce2d709b8b9706e674b720364eea9cf96202583516aa105c,f94d0399b40687cdce2d709b8b9706e674b720364eea9cf96202583516aa105c.txt,rewrite-report,block-1,,gpt-oss:20b,0,0,24646,4936,
2026-06-01T20:05:22.244Z,prompt,79cd055390cdfdde2168882617cb5c21452e68ea36b2ed063f55d569340638bc,79cd055390cdfdde2168882617cb5c21452e68ea36b2ed063f55d569340638bc.txt,rewrite-report,block-2,,gpt-oss:20b,0,0,24646,2173,
2026-06-01T20:05:30.791Z,prompt,29118fbcb66dd81fb8295b0b71006c1b61756774dba9fb8a6ba27aab6114f9f5,29118fbcb66dd81fb8295b0b71006c1b61756774dba9fb8a6ba27aab6114f9f5.txt,rewrite-report,block-3,,gpt-oss:20b,0,0,24646,2512,
2026-06-01T20:05:42.368Z,prompt,4f8d293e00ea77df7ee79473d3913c8ddfb57b4352f331d6371b3dfa80ac6c98,4f8d293e00ea77df7ee79473d3913c8ddfb57b4352f331d6371b3dfa80ac6c98.txt,rewrite-report,block-4,,gpt-oss:20b,0,0,24646,2336,
2026-06-01T20:05:49.451Z,prompt,2fcf009e32d4cec935e56eb06bb5897ae83f7f8f3102b6a941c00e0e14241929,2fcf009e32d4cec935e56eb06bb5897ae83f7f8f3102b6a941c00e0e14241929.txt,rewrite-report,block-5,,gpt-oss:20b,0,0,24646,2353,
2026-06-01T20:05:55.252Z,prompt,1acef56ad9421270dbb074fa5bea3946028fc6f34626cc7d93250a86921cba50,1acef56ad9421270dbb074fa5bea3946028fc6f34626cc7d93250a86921cba50.txt,rewrite-report,block-6,,gpt-oss:20b,0,0,24646,8704,
2026-06-01T20:07:11.584Z,prompt,47f436373eec291449667379915e0892cebcde8b29a376bbd4649c9906fc7768,47f436373eec291449667379915e0892cebcde8b29a376bbd4649c9906fc7768.txt,rewrite-report,block-7,,gpt-oss:20b,0,0,24646,3342,
2026-06-01T20:07:37.084Z,prompt,4e096c07344f0f09d903b8fd4179c671592e189b2c2da8b45bc978417d3bac5e,4e096c07344f0f09d903b8fd4179c671592e189b2c2da8b45bc978417d3bac5e.txt,rewrite-report,block-8,,gpt-oss:20b,0,0,24646,2128,
2026-06-01T20:07:41.212Z,prompt,317126786af8515d5bfa2998b4421a974cda543e85101615ba8beadd9557a544,317126786af8515d5bfa2998b4421a974cda543e85101615ba8beadd9557a544.txt,rewrite-report,block-9,,gpt-oss:20b,0,0,24646,2149,
2026-06-01T20:07:45.523Z,prompt,bbb79949ae929db861974f55351c71a4211bcfe6d357e91ab438a8dc3ccc373e,bbb79949ae929db861974f55351c71a4211bcfe6d357e91ab438a8dc3ccc373e.txt,rewrite-report,block-10,,gpt-oss:20b,0,0,24646,2420,
2026-06-01T20:07:50.854Z,prompt,cfbd3eea307844707b9d30abd3fd3ba1550a499ede816b06d5d6810c32a4c817,cfbd3eea307844707b9d30abd3fd3ba1550a499ede816b06d5d6810c32a4c817.txt,rewrite-report,block-11,,gpt-oss:20b,0,0,24646,2608,
2026-06-01T20:08:07.710Z,prompt,cdc13d3d33e87a5c650f2a14bd4ee5c70b47c0dea9fa06df3fb160a1f8c56ee4,cdc13d3d33e87a5c650f2a14bd4ee5c70b47c0dea9fa06df3fb160a1f8c56ee4.txt,rewrite-report,block-12,,gpt-oss:20b,0,0,24646,1970,
2026-06-01T20:08:11.551Z,prompt,9c18413560f1cb1c017e75ab69b501ba1afc324b93a657525fa2fb9f1066d33a,9c18413560f1cb1c017e75ab69b501ba1afc324b93a657525fa2fb9f1066d33a.txt,rewrite-report,block-13,,gpt-oss:20b,0,0,24646,2090,
2026-06-01T20:08:29.430Z,prompt,70b581414ab47db88b79c3b259c2269ca58dd31309f664429eb082af5250baec,70b581414ab47db88b79c3b259c2269ca58dd31309f664429eb082af5250baec.txt,rewrite-report,block-14,,gpt-oss:20b,0,0,24646,2172,
2026-06-01T20:08:39.784Z,prompt,8552e23c8aa01f90e29c4d19a6ade2e90d429ba3cc0f041b591bc566c139d17b,8552e23c8aa01f90e29c4d19a6ade2e90d429ba3cc0f041b591bc566c139d17b.txt,rewrite-report,block-15,,gpt-oss:20b,0,0,24646,3372,
2026-06-01T20:08:58.500Z,prompt,e3e275e3132ee9d82c267c3318e189813f2e7436462bd0828be0845579eea343,e3e275e3132ee9d82c267c3318e189813f2e7436462bd0828be0845579eea343.txt,rewrite-report,block-16,,gpt-oss:20b,0,0,24646,2603,
2026-06-01T20:09:07.601Z,prompt,7fa4d6f4a031f53e24d98f065d194b63fa8d6849efd0c8785e03d3742dfce8b9,7fa4d6f4a031f53e24d98f065d194b63fa8d6849efd0c8785e03d3742dfce8b9.txt,rewrite-report,block-17,,gpt-oss:20b,0,0,24646,2519,
2026-06-01T20:09:26.083Z,prompt,cf9a41c245d3ece0f48a942e6ae51b15d937999a82dfdff600e5bca8bd361328,cf9a41c245d3ece0f48a942e6ae51b15d937999a82dfdff600e5bca8bd361328.txt,rewrite-report,block-18,,gpt-oss:20b,0,0,24646,2514,
2026-06-01T20:09:44.417Z,prompt,64feea9da6890d43beb849956269f5a0210434b4d6198e9fb065f1fc41369129,64feea9da6890d43beb849956269f5a0210434b4d6198e9fb065f1fc41369129.txt,rewrite-report,block-19,,gpt-oss:20b,0,0,24646,3112,
2026-06-01T20:10:08.727Z,input,58c90881f19593e151c71b64045267073d972c64e26717f80c66e3f37ef0f09e,58c90881f19593e151c71b64045267073d972c64e26717f80c66e3f37ef0f09e.md,audit-fierce-critic,report,report,,,,,,82698
2026-06-01T20:10:08.816Z,prompt,0e236a93bef33ed3d75b9a75af029eeec141c279f370ce931959a6b8fc4dbd55,0e236a93bef33ed3d75b9a75af029eeec141c279f370ce931959a6b8fc4dbd55.txt,audit-fierce-critic,llm-critic-pass,,gpt-oss:20b,0,0,11625,82832,
2026-06-01T20:12:13.362Z,input,58c90881f19593e151c71b64045267073d972c64e26717f80c66e3f37ef0f09e,58c90881f19593e151c71b64045267073d972c64e26717f80c66e3f37ef0f09e.md,audit-llm-judgment,report,report,,,,,,82698
2026-06-01T20:12:13.365Z,prompt,d3b1aeda8ec896620bd195318fa2489baf984a5bdcb01260c449613a36dd1782,d3b1aeda8ec896620bd195318fa2489baf984a5bdcb01260c449613a36dd1782.txt,audit-llm-judgment,llm-judgment-pass,,gpt-oss:20b,0,0,7880,82783,
2026-06-01T20:13:52.080Z,input,812636dd396828a241115a4b2c3ab26a760c359c47c0b1e848cc42ac0bb6d0c4,812636dd396828a241115a4b2c3ab26a760c359c47c0b1e848cc42ac0bb6d0c4.md,repair-report-unified,report,report,,,,,,82701
2026-06-01T20:13:52.084Z,prompt,c707cf9dad24d439a4881afce34e01a2b6767f669ee7b9fa11d7cdcdda06d121,c707cf9dad24d439a4881afce34e01a2b6767f669ee7b9fa11d7cdcdda06d121.txt,repair-report-unified,repair-unified-pass,,gpt-oss:20b,0,0,9649,83875,
2026-06-02T07:32:23.935Z,input,a4a4183199eccd59eaf07ce97884c63ded35a9aba8f86ce226652a2418c39d06,a4a4183199eccd59eaf07ce97884c63ded35a9aba8f86ce226652a2418c39d06.md,audit-fierce-critic,report,report,,,,,,82647
2026-06-02T07:32:24.024Z,prompt,28eb21e1a8a51f81c07984cb3ab1c5156f8946804731c9f8a5e53c10245e2100,28eb21e1a8a51f81c07984cb3ab1c5156f8946804731c9f8a5e53c10245e2100.txt,audit-fierce-critic,llm-critic-pass,,gpt-oss:20b,0,0,11625,82781,
2026-06-02T07:34:31.751Z,input,a4a4183199eccd59eaf07ce97884c63ded35a9aba8f86ce226652a2418c39d06,a4a4183199eccd59eaf07ce97884c63ded35a9aba8f86ce226652a2418c39d06.md,audit-llm-judgment,report,report,,,,,,82647
2026-06-02T07:34:31.754Z,prompt,5cca7e4e710bc3682b624008422154f5bf791f6ad4ee4a467fa5f935ca16cd2a,5cca7e4e710bc3682b624008422154f5bf791f6ad4ee4a467fa5f935ca16cd2a.txt,audit-llm-judgment,llm-judgment-pass,,gpt-oss:20b,0,0,7880,82732,
