timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-06-02T20:45:50.116Z,collect,start,phase_start,collect phase started,url=https://crowdfavorite.com/ pages=10 client=crowdfavorite-com date=2026-06-02,audit-pipeline.js,high,n-a
2026-06-02T20:45:50.116Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://crowdfavorite.com pages=10 forceFresh=false client=crowdfavorite-com date=2026-06-02,audit-pipeline.js,high,n-a
2026-06-02T20:45:50.117Z,collect,1,anomaly,check-egress.js invoked,url=https://crowdfavorite.com,check-egress.js,high,n-a
2026-06-02T20:45:51.777Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-06-02T20:45:51.778Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://crowdfavorite.com,check-wellknown.js,high,n-a
2026-06-02T20:47:20.498Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-06-02T20:47:20.500Z,collect,3,anomaly,Results dir cleared: mx-outputs/audit/2026-06-02/crowdfavorite.com/.infill,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-06-02T20:47:20.500Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://crowdfavorite.com,check-ai-usage.js,high,n-a
2026-06-02T20:47:32.932Z,collect,3a,sitemap_discovery,AI Usage Declaration probe passed,Exit 0,check-ai-usage.js,high,pass
2026-06-02T20:47:33.828Z,collect,4,sitemap_discovery,Sitemap: https://crowdfavorite.com/sitemap.xml,Responded HTTP 200 to HEAD request,https://crowdfavorite.com/sitemap.xml,high,pass
2026-06-02T20:47:33.830Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://crowdfavorite.com/sitemap.xml htmlPagesRequested=10 crawlCap=12 (buffer=2 for non-HTML discovery files) forceFresh=false,mx-reginald/audit/index.js,high,n-a
2026-06-02T20:51:41.428Z,collect,5,score_summary,Crawler complete,Exit 0,mx-outputs/audit/2026-06-02/crowdfavorite.com/.infill,high,pass
2026-06-02T20:51:41.429Z,collect,5a,sitemap_discovery,discover-urls.js invoked,url=https://crowdfavorite.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/crowdfavorite.com/.infill/discovery.json,discover-urls.js,high,n-a
2026-06-02T20:51:43.255Z,collect,5a,sitemap_discovery,Sitemap grading complete,discovery.json written — SITEMAP_* placeholders will be filled at report time,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/crowdfavorite.com/.infill/discovery.json,high,pass
2026-06-02T20:51:43.256Z,collect,5b,sitemap_discovery,topup-pdfs-from-sitemap.js invoked,results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/crowdfavorite.com/.infill,topup-pdfs-from-sitemap.js,high,n-a
2026-06-02T20:51:43.330Z,collect,5b,sitemap_discovery,Sitemap PDF topup complete,no append count parsed,topup-pdfs-from-sitemap.js,high,pass
2026-06-02T20:51:43.330Z,collect,5c,sitemap_discovery,capture-pdf-sample.js invoked,url=https://crowdfavorite.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/crowdfavorite.com/.infill,capture-pdf-sample.js,high,n-a
2026-06-02T20:51:44.285Z,collect,5c,sitemap_discovery,PDF accessibility sample captured,no pdfCount parsed,capture-pdf-sample.js,high,pass
2026-06-02T20:51:44.285Z,collect,6,anomaly,error-page-test.js invoked,url=https://crowdfavorite.com,error-page-test.js,high,n-a
2026-06-02T20:51:46.130Z,collect,6,anomaly,Error page test passed,Exit 0,error-page-test.js,high,pass
2026-06-02T20:51:46.130Z,collect,7,agent_access,agent-access-test.js invoked,url=https://crowdfavorite.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-02/crowdfavorite.com/.infill,agent-access-test.js,high,n-a
