URL,Schema Type,Severity,Property,Why It Matters
https://specification.website/,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://specification.website/,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://specification.website/,WebSite,recommended,author,Site has no top-level author/owner declared
https://specification.website/,WebSite,recommended,publisher,Site has no top-level publisher declared
https://specification.website/spec,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://specification.website/spec,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://specification.website/spec,WebSite,recommended,author,Site has no top-level author/owner declared
https://specification.website/spec,WebSite,recommended,publisher,Site has no top-level publisher declared
https://specification.website/checklist,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://specification.website/checklist,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://specification.website/checklist,WebSite,recommended,author,Site has no top-level author/owner declared
https://specification.website/checklist,WebSite,recommended,publisher,Site has no top-level publisher declared
https://specification.website/about,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://specification.website/about,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://specification.website/about,WebSite,recommended,author,Site has no top-level author/owner declared
https://specification.website/about,WebSite,recommended,publisher,Site has no top-level publisher declared
https://specification.website/contribute,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://specification.website/contribute,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://specification.website/contribute,WebSite,recommended,author,Site has no top-level author/owner declared
https://specification.website/contribute,WebSite,recommended,publisher,Site has no top-level publisher declared
https://specification.website/mcp,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://specification.website/mcp,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://specification.website/mcp,WebSite,recommended,author,Site has no top-level author/owner declared
https://specification.website/mcp,WebSite,recommended,publisher,Site has no top-level publisher declared
https://specification.website/privacy,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://specification.website/privacy,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://specification.website/privacy,WebSite,recommended,author,Site has no top-level author/owner declared
https://specification.website/privacy,WebSite,recommended,publisher,Site has no top-level publisher declared
https://specification.website/search,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://specification.website/search,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://specification.website/search,WebSite,recommended,author,Site has no top-level author/owner declared
https://specification.website/search,WebSite,recommended,publisher,Site has no top-level publisher declared
https://specification.website/spec/foundations,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://specification.website/spec/foundations,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://specification.website/spec/foundations,WebSite,recommended,author,Site has no top-level author/owner declared
https://specification.website/spec/foundations,WebSite,recommended,publisher,Site has no top-level publisher declared
https://specification.website/spec/foundations/doctype,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://specification.website/spec/foundations/doctype,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://specification.website/spec/foundations/doctype,WebSite,recommended,author,Site has no top-level author/owner declared
https://specification.website/spec/foundations/doctype,WebSite,recommended,publisher,Site has no top-level publisher declared
https://specification.website/spec/foundations/html-lang,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://specification.website/spec/foundations/html-lang,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://specification.website/spec/foundations/html-lang,WebSite,recommended,author,Site has no top-level author/owner declared
https://specification.website/spec/foundations/html-lang,WebSite,recommended,publisher,Site has no top-level publisher declared
