timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-06-02T16:30:53.569Z,collect,start,phase_start,collect phase started,url=https://specification.website/ pages=10 client=specification-website date=2026-06-02,audit-pipeline.js,high,n-a
2026-06-02T16:30:53.569Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://specification.website pages=10 forceFresh=false client=specification-website date=2026-06-02,audit-pipeline.js,high,n-a
2026-06-02T16:30:53.570Z,collect,1,anomaly,check-egress.js invoked,url=https://specification.website,check-egress.js,high,n-a
2026-06-02T16:30:53.845Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-06-02T16:30:53.846Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://specification.website,check-wellknown.js,high,n-a
2026-06-02T16:30:58.166Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-06-02T16:30:58.167Z,collect,3,anomaly,Results dir cleared: mx-outputs/audit/2026-06-02/specification.website/.infill,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-06-02T16:30:58.167Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://specification.website,check-ai-usage.js,high,n-a
2026-06-02T16:30:59.569Z,collect,3a,sitemap_discovery,AI Usage Declaration probe passed,Exit 0,check-ai-usage.js,high,pass
2026-06-02T16:31:00.036Z,collect,4,sitemap_discovery,Sitemap: https://specification.website/sitemap.xml,Responded HTTP 200 to HEAD request,https://specification.website/sitemap.xml,high,pass
2026-06-02T16:31:00.036Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://specification.website/sitemap.xml htmlPagesRequested=10 crawlCap=12 (buffer=2 for non-HTML discovery files) forceFresh=false,mx-reginald/audit/index.js,high,n-a
