url,type,isNav,seo,a11y,accessibilityIssues,backend,served,rendered,loadTimeMs,msc,sdq,schemaTypes,hasOffer
https://crowdfavorite.com/insights,content,false,97,75,12,100,0,,2909,69,91,WebPage; BreadcrumbList; ListItem; WebSite; SearchAction; EntryPoint; PropertyValueSpecification; Organization; ImageObject,No
https://crowdfavorite.com/insights/the-role-of-open-source,content,false,96,70,18,100,15,,3480,77,95,Article; WebPage; ReadAction; ImageObject; BreadcrumbList; ListItem; WebSite; SearchAction; EntryPoint; PropertyValueSpecification; Organization; Person,No
https://crowdfavorite.com/insights/choosing-an-ecommerce-solution,content,false,96,70,13,100,10,,3057,77,95,Article; WebPage; ReadAction; ImageObject; BreadcrumbList; ListItem; WebSite; SearchAction; EntryPoint; PropertyValueSpecification; Organization; Person,No
https://crowdfavorite.com/insights/the-value-of-balancing-desirability-feasibility-and-viability,content,false,91,80,9,100,25,,3091,73,95,Article; WebPage; ReadAction; ImageObject; BreadcrumbList; ListItem; WebSite; SearchAction; EntryPoint; PropertyValueSpecification; Organization; Person,No
https://crowdfavorite.com/insights/personalized-digital-experiences,content,false,97,75,13,100,11,,2981,73,95,Article; WebPage; ReadAction; ImageObject; BreadcrumbList; ListItem; WebSite; SearchAction; EntryPoint; PropertyValueSpecification; Organization; Person,No
https://crowdfavorite.com/,nav,true,96,65,28,100,12,,3334,67,58,WebPage; ReadAction; ImageObject; BreadcrumbList; ListItem; WebSite; SearchAction; EntryPoint; PropertyValueSpecification; Organization; ContactPoint; OfferCatalog; Offer; Service,Yes
https://crowdfavorite.com/campaign/decode2021,content,false,98,75,13,100,0,,3352,73,93,WebPage; ReadAction; ImageObject; BreadcrumbList; ListItem; WebSite; SearchAction; EntryPoint; PropertyValueSpecification; Organization,No
https://crowdfavorite.com/support/speed-daemon,content,false,98,85,8,100,0,,2653,72,94,WebPage; ReadAction; ImageObject; BreadcrumbList; ListItem; WebSite; SearchAction; EntryPoint; PropertyValueSpecification; Organization; FAQPage; Question; Answer,No
https://crowdfavorite.com/campaign/digital-summit-atlanta-2022,content,false,96,60,404,100,0,,4551,73,92,WebPage; ReadAction; ImageObject; BreadcrumbList; ListItem; WebSite; SearchAction; EntryPoint; PropertyValueSpecification; Organization,No
https://crowdfavorite.com/campaign/gianthealth,content,false,89,75,13,100,0,,6654,72,93,WebPage; ReadAction; ImageObject; BreadcrumbList; ListItem; WebSite; SearchAction; EntryPoint; PropertyValueSpecification; Organization; Collection; CreativeWork; Person; InteractionCounter,No
https://crowdfavorite.com/cookie-policy/,nav,true,98,80,17,100,19,,3194,72,91,WebPage; ReadAction; BreadcrumbList; ListItem; WebSite; SearchAction; EntryPoint; PropertyValueSpecification; Organization; ImageObject,n/a
