Type,Bytes,Occurrences,Hash,Pages,Preview
css,200,8,9ad1b0df94a007ebeb767eb41c7ef7ae,https://stackoptic.com/; https://stackoptic.com/about; https://stackoptic.com/contact; https://stackoptic.com/contact; https://stackoptic.com/technologies; https://stackoptic.com/blog; https://stackoptic.com/disclaimer; https://stackoptic.com/privacy,html { background: #09090b; color: #f4f4f5; }           body { background: #0909
js,97,8,e2d635e8e2f8c1ae712e344496629e99,https://stackoptic.com/; https://stackoptic.com/about; https://stackoptic.com/contact; https://stackoptic.com/contact; https://stackoptic.com/technologies; https://stackoptic.com/blog; https://stackoptic.com/disclaimer; https://stackoptic.com/privacy,(function() {                 document.documentElement.classList.add('dark');   
js,374,7,00f538ddcd3a8d9d665971698787d095,https://stackoptic.com/; https://stackoptic.com/about; https://stackoptic.com/contact; https://stackoptic.com/technologies; https://stackoptic.com/blog; https://stackoptic.com/disclaimer; https://stackoptic.com/privacy,"self.__next_f.push([1,""1:HL[\""/_next/static/media/bb3ef058b751a6ad-s.p.woff2\"",\"
js,72,7,b40cdc025a72d0b516bd11d9ef0a1776,https://stackoptic.com/; https://stackoptic.com/about; https://stackoptic.com/contact; https://stackoptic.com/technologies; https://stackoptic.com/blog; https://stackoptic.com/disclaimer; https://stackoptic.com/privacy,"(self.__next_f=self.__next_f||[]).push([0]);self.__next_f.push([2,null])"
js,34,7,c9df2474492ffb49fdf4963bc8c510f2,https://stackoptic.com/; https://stackoptic.com/about; https://stackoptic.com/contact; https://stackoptic.com/technologies; https://stackoptic.com/blog; https://stackoptic.com/disclaimer; https://stackoptic.com/privacy,"self.__next_f.push([1,""6:null\n""])"
js,8111,2,063d69baf9a80e289570e98b56fa525c,https://stackoptic.com/technologies; https://stackoptic.com/blog,"self.__next_f.push([1,""b:[\""$\"",\""$Lf\"",null,{\""signInUrl\"":\""/sign-in\"",\""signU"
js,8104,2,141e448d11fe184d228c6bf9c00776a3,https://stackoptic.com/disclaimer; https://stackoptic.com/privacy,"self.__next_f.push([1,""e:[\""$\"",\""$L12\"",null,{\""signInUrl\"":\""/sign-in\"",\""sign"
js,1801,2,51526ec499a93a729ef65d972714f9b2,https://stackoptic.com/technologies; https://stackoptic.com/blog,"self.__next_f.push([1,""5:I[12846,[],\""\""]\n8:I[4707,[],\""\""]\n9:I[36423,[],\""\""]"
js,1648,2,929b26571e83c2af736cf4946c01e522,https://stackoptic.com/contact; https://stackoptic.com/contact,"(self.__next_s=self.__next_s||[]).push([0,{""type"":""application/ld+json"",""childre"
js,618,2,d5475684f36e7438e72e6cd5ad2cf352,https://stackoptic.com/disclaimer; https://stackoptic.com/privacy,"self.__next_f.push([1,""12:I[43925,[\""1359\"",\""static/chunks/1359-05f41eeff2c7aac"
