url,type,isNav,seo,a11y,accessibilityIssues,backend,served,rendered,loadTimeMs,msc,sdq,schemaTypes,hasOffer
https://sibotacademy.pl/en,content,false,93,95,4,75,80,,713,68,78,Organization; ContactPoint; WebSite; Course; EducationalAudience,No
https://sibotacademy.pl/en/index.html,content,false,93,95,4,75,80,,667,68,78,Organization; ContactPoint; WebSite; Course; EducationalAudience,No
https://sibotacademy.pl/en/about.html,content,false,88,95,3,75,96,,791,67,67,AboutPage; WebSite; Organization,No
https://sibotacademy.pl/en/forparents.html,content,false,94,95,6,75,73,,858,68,71,WebPage; Audience; WebSite; Organization,No
https://sibotacademy.pl/en/contact.html,content,false,85,95,1,75,100,,782,68,73,ContactPage; WebSite; Organization; ContactPoint; OpeningHoursSpecification,No
https://sibotacademy.pl/index.html,nav,true,98,95,5,75,75,,620,68,78,Organization; ContactPoint; WebSite; Course; EducationalAudience,n/a
https://sibotacademy.pl/en/parent/sign-in,content,false,69,95,2,45,59,,1140,33,0,,No
https://sibotacademy.pl/en/worlds,content,false,70,95,1,45,64,,1525,39,0,,No
https://sibotacademy.pl/en/parent/sign-up,content,false,69,95,2,45,59,,1099,33,0,,No
https://sibotacademy.pl/en/privacy-policy.html,content,false,100,95,2,75,100,,793,67,64,WebPage; WebSite,No
https://sibotacademy.pl/en/terms.html,content,false,100,95,5,75,100,,872,67,64,WebPage; WebSite,No
