URL,Schema Type,Severity,Property,Why It Matters
https://sibotacademy.pl/en,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://sibotacademy.pl/en,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://sibotacademy.pl/en,WebSite,recommended,author,Site has no top-level author/owner declared
https://sibotacademy.pl/en,WebSite,recommended,publisher,Site has no top-level publisher declared
https://sibotacademy.pl/en/index.html,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://sibotacademy.pl/en/index.html,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://sibotacademy.pl/en/index.html,WebSite,recommended,author,Site has no top-level author/owner declared
https://sibotacademy.pl/en/index.html,WebSite,recommended,publisher,Site has no top-level publisher declared
https://sibotacademy.pl/en/about.html,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://sibotacademy.pl/en/about.html,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://sibotacademy.pl/en/about.html,WebSite,recommended,author,Site has no top-level author/owner declared
https://sibotacademy.pl/en/about.html,WebSite,recommended,publisher,Site has no top-level publisher declared
https://sibotacademy.pl/en/forparents.html,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://sibotacademy.pl/en/forparents.html,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://sibotacademy.pl/en/forparents.html,WebSite,recommended,author,Site has no top-level author/owner declared
https://sibotacademy.pl/en/forparents.html,WebSite,recommended,publisher,Site has no top-level publisher declared
https://sibotacademy.pl/en/contact.html,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://sibotacademy.pl/en/contact.html,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://sibotacademy.pl/en/contact.html,WebSite,recommended,author,Site has no top-level author/owner declared
https://sibotacademy.pl/en/contact.html,WebSite,recommended,publisher,Site has no top-level publisher declared
https://sibotacademy.pl/index.html,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://sibotacademy.pl/index.html,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://sibotacademy.pl/index.html,WebSite,recommended,author,Site has no top-level author/owner declared
https://sibotacademy.pl/index.html,WebSite,recommended,publisher,Site has no top-level publisher declared
https://sibotacademy.pl/en/privacy-policy.html,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://sibotacademy.pl/en/privacy-policy.html,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://sibotacademy.pl/en/privacy-policy.html,WebSite,recommended,author,Site has no top-level author/owner declared
https://sibotacademy.pl/en/privacy-policy.html,WebSite,recommended,publisher,Site has no top-level publisher declared
https://sibotacademy.pl/en/terms.html,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://sibotacademy.pl/en/terms.html,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://sibotacademy.pl/en/terms.html,WebSite,recommended,author,Site has no top-level author/owner declared
https://sibotacademy.pl/en/terms.html,WebSite,recommended,publisher,Site has no top-level publisher declared
