pattern,severity,wcag,pages_affected,instances,template_level,example_page,structure
"Duplicate id used as an accessibility reference","error","WCAG 2.1 4.1.1","2","2","yes","/","div.cf-tabs__headers > div.cf-tabs__headers-list > a#header-cf-tabs-61c724cc-0.cf-tabs__header.cf-tabs__header--link"
"Duplicate id used as an accessibility reference","error","WCAG 2.1 4.1.1","2","2","yes","/","div.cf-tabs__headers > div.cf-tabs__headers-list > a#header-cf-tabs-61c724cc-1.cf-tabs__header.cf-tabs__header--link"
"Duplicate id used as an accessibility reference","error","WCAG 2.1 4.1.1","2","2","yes","/","div.cf-tabs__headers > div.cf-tabs__headers-list > a#header-cf-tabs-61c724cc-2.cf-tabs__header.cf-tabs__header--link"
"Duplicate id used as an accessibility reference","error","WCAG 2.1 4.1.1","2","2","yes","/","div.cf-tabs__headers > div.cf-tabs__headers-list > a#header-cf-tabs-61c724cc-3.cf-tabs__header.cf-tabs__header--link"
"Duplicate id used as an accessibility reference","error","WCAG 2.1 4.1.1","2","2","yes","/","div.cf-tabs__headers > div.cf-tabs__headers-list > a#header-cf-tabs-61c724cc-4.cf-tabs__header.cf-tabs__header--link"
"Duplicate id used as an accessibility reference","error","WCAG 2.1 4.1.1","2","2","yes","/","div.cf-tabs__headers > div.cf-tabs__headers-list > a#header-cf-tabs-61c724cc-5.cf-tabs__header.cf-tabs__header--link"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","2","2","yes","/","div.cmplz-header > div.cmplz-close > svg"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","2","8","yes","/","span.cmplz-category-header > span.cmplz-icon.cmplz-open > svg"
"ARIA role outside its required parent context","error","WCAG 2.1 1.3.1","1","1","no","/","div#block_c4209641d8efce7657cf0d8194929201.services-tabs-block > div.services-tabs-column > div.service-tab.active"
"ARIA role outside its required parent context","error","WCAG 2.1 1.3.1","1","5","no","/","div#block_c4209641d8efce7657cf0d8194929201.services-tabs-block > div.services-tabs-column > div.service-tab"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","6","no","/","html > body.home.wp-singular > svg"
"Link whose accessible name carries no destination meaning","warn","WCAG 2.1 2.4.4","2","4","yes","/","div.wp-block-group.bg-black-2 > p.has-alto-color.has-text-color > a"
"Repeated landmarks with no distinguishing labels","warn","WCAG 2.1 1.3.6","2","2","yes","/","div.cf-nav-menu-renderer.cf-nav-item-desktop--body-16 > div.cf-nav-menu-renderer__inner > nav.is-vertical.wp-block-navigation"
"Link whose accessible name carries no destination meaning","warn","WCAG 2.1 2.4.4","1","1","no","/cookie-policy/","div.fl-rich-text > p > a"
