timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-06-12T20:49:24.859Z,collect,start,phase_start,collect phase started,url=https://specification.website pages=10 client=spec-website date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-12T20:49:24.859Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://specification.website pages=10 forceFresh=false client=spec-website date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-12T20:49:24.938Z,collect,cache-ttl,gate_result,Cache TTL prune (240h): Pruned 0 URL entries older than 240h; kept 233 fresh URL entries.,Age-based TTL is the only automatic cache-clear; within-TTL entries are reused for speed and fresh by definition,prune-cache.js,high,pass
2026-06-12T20:49:24.939Z,collect,1,anomaly,check-egress.js invoked,url=https://specification.website,check-egress.js,high,n-a
2026-06-12T20:49:25.159Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-06-12T20:49:25.160Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://specification.website,check-wellknown.js,high,n-a
2026-06-12T20:49:34.837Z,collect,2,sitemap_discovery,Well-known probe warned,Exit 1,check-wellknown.js,high,warn
2026-06-12T20:49:43.278Z,collect,2.5,sitemap_discovery,Sitemap-defect probe passed,Exit 0,check-sitemap-defects.js,high,pass
2026-06-12T20:49:43.279Z,collect,3,anomaly,Results dir cleared: mx-outputs/audit/2026-06-12/specification.website/.infill,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-06-12T20:49:43.279Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://specification.website,check-ai-usage.js,high,n-a
2026-06-12T20:49:44.653Z,collect,3a,sitemap_discovery,AI Usage Declaration probe warned,Exit 1,check-ai-usage.js,high,warn
2026-06-13T01:13:04.607Z,collect,start,phase_start,collect phase started,url=https://specification.website pages=10 client=spec-website date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-13T01:13:04.608Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://specification.website pages=10 forceFresh=false client=spec-website date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-13T01:13:04.685Z,collect,cache-ttl,gate_result,Cache TTL prune (240h): Pruned 0 URL entries older than 240h; kept 265 fresh URL entries.,Age-based TTL is the only automatic cache-clear; within-TTL entries are reused for speed and fresh by definition,prune-cache.js,high,pass
2026-06-13T01:13:04.686Z,collect,1,anomaly,check-egress.js invoked,url=https://specification.website,check-egress.js,high,n-a
2026-06-13T01:13:04.918Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-06-13T01:13:04.918Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://specification.website,check-wellknown.js,high,n-a
2026-06-13T01:13:05.120Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-06-13T01:13:05.566Z,collect,2.5,sitemap_discovery,Sitemap-defect probe passed,Exit 0,check-sitemap-defects.js,high,pass
2026-06-13T01:13:05.568Z,collect,3,anomaly,Results dir cleared: mx-outputs/audit/2026-06-12/specification.website/.infill,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-06-13T01:13:05.568Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://specification.website,check-ai-usage.js,high,n-a
2026-06-13T01:13:05.789Z,collect,3a,sitemap_discovery,AI Usage Declaration probe passed,Exit 0,check-ai-usage.js,high,pass
2026-06-13T01:13:06.111Z,collect,4,sitemap_discovery,Sitemap: https://specification.website/sitemap.xml,Responded HTTP 200 to HEAD request,https://specification.website/sitemap.xml,high,pass
2026-06-13T01:13:06.112Z,collect,4b,sitemap_discovery,check-sitemap-anomaly.js invoked,url=https://specification.website,check-sitemap-anomaly.js,high,n-a
2026-06-13T01:13:07.220Z,collect,4b,sitemap_discovery,Sitemap not flagged,no aggregator pattern,check-sitemap-anomaly.js,high,pass
2026-06-13T01:13:07.220Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://specification.website/sitemap.xml htmlPagesRequested=10 crawlCap=12 (buffer=2 for non-HTML discovery files) forceFresh=false,mx-reginald/audit/index.js,high,n-a
2026-06-13T01:16:28.840Z,collect,5,score_summary,Crawler complete,Exit 0,mx-outputs/audit/2026-06-12/specification.website/.infill,high,pass
