pattern,severity,wcag,pages_affected,instances,template_level,example_page,structure
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","3","19","yes","/about","div.p-6.rounded-2xl > div.w-11.h-11 > svg"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","3","21","yes","/about","details.group.rounded-xl > summary.flex.items-center > svg.text-surface-500.transition-transform"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","2","3","no","/","div.flex.flex-col > span.hidden.md:flex > svg.lucide.lucide-badge-percent"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","2","22","no","/about","div.p-6.rounded-2xl > div.w-10.h-10 > svg"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","4","no","/","div.relative.flex > div.flex-1.flex > svg.lucide.lucide-search"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","4","no","/","div.mt-5.flex > div.w-12.h-12 > svg.text-accent-400"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","6","no","/","div.mt-5.grid > div.px-2.py-2 > svg.tabler-icon.tabler-icon-check"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","2","no","/","div.mt-auto > div.mt-5 > svg.w-full.h-12"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","26","no","/","tr.border-b.border-white/[0.04] > td.p-4.text-center > svg.tabler-icon.tabler-icon-check"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","64","no","/","tr.border-b.border-white/[0.04] > td.p-4.text-center > svg.tabler-icon.tabler-icon-x"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","4","no","/","div.absolute.inset-0 > div.w-16.h-16 > svg.tabler-icon.tabler-icon-player-play"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","8","no","/","ul.space-y-3.5.mb-8 > li.flex.items-start > svg.tabler-icon.tabler-icon-check"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","6","no","/","div > div.p-6.rounded-2xl > svg.text-white/[0.08].mb-4"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","32","no","/","ul.space-y-2.mb-6 > li.flex.items-start > svg.tabler-icon.tabler-icon-check"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","1","no","/pricing","div.h-5.flex > span.inline-flex.items-center > svg.text-accent-400.mt-0.5"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","5","no","/pricing","div.flex.items-center > div.w-10.h-10 > svg"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","27","no","/pricing","ul.space-y-3 > li.flex.items-start > svg.text-accent-400.mt-0.5"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","14","no","/pricing","ul.space-y-3 > li.flex.items-start > svg.text-surface-700.mt-0.5"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","1","no","/pricing","div.absolute.-top-3 > span.inline-flex.items-center > svg"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","6","no","/pricing","div.flex.flex-wrap > span.inline-flex.items-center > svg.text-accent-400.mt-0.5"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","4","no","/pricing","div.flex.items-start > div.w-8.h-8 > svg"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","38","no","/pricing","tr.border-t.border-white/[0.04] > td.px-4.py-3.5 > svg.text-accent-400.mx-auto"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","3","no","/pricing","div.rounded-2xl.border > div.w-12.h-12 > svg"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","3","no","/pricing","div.grid.grid-cols-1 > div.p-6.rounded-2xl > svg.text-white/[0.08].mb-4"
"Form field labelled only by its placeholder","warn","WCAG 2.1 3.3.2","1","4","no","/","div.relative.flex > div.flex-1.flex > input.search-input.flex-1"
