timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-06-12T20:49:44.876Z,collect,start,phase_start,collect phase started,url=https://stackoptic.com pages=10 client=stackoptic-com date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-12T20:49:44.876Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://stackoptic.com pages=10 forceFresh=false client=stackoptic-com date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-12T20:49:44.955Z,collect,cache-ttl,gate_result,Cache TTL prune (240h): Pruned 0 URL entries older than 240h; kept 233 fresh URL entries.,Age-based TTL is the only automatic cache-clear; within-TTL entries are reused for speed and fresh by definition,prune-cache.js,high,pass
2026-06-12T20:49:44.955Z,collect,1,anomaly,check-egress.js invoked,url=https://stackoptic.com,check-egress.js,high,n-a
2026-06-12T20:49:45.164Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-06-12T20:49:45.164Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://stackoptic.com,check-wellknown.js,high,n-a
2026-06-12T20:49:52.870Z,collect,2,sitemap_discovery,Well-known probe warned,Exit 1,check-wellknown.js,high,warn
2026-06-12T20:49:55.547Z,collect,2.5,sitemap_discovery,Sitemap-defect probe passed,Exit 0,check-sitemap-defects.js,high,pass
2026-06-12T20:49:55.548Z,collect,3,anomaly,Results dir cleared: mx-outputs/audit/2026-06-12/stackoptic.com/.infill,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-06-12T20:49:55.548Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://stackoptic.com,check-ai-usage.js,high,n-a
2026-06-12T20:49:58.247Z,collect,3a,sitemap_discovery,AI Usage Declaration probe warned,Exit 1,check-ai-usage.js,high,warn
2026-06-13T01:24:01.091Z,collect,start,phase_start,collect phase started,url=https://stackoptic.com pages=10 client=stackoptic-com date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-13T01:24:01.091Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://stackoptic.com pages=10 forceFresh=false client=stackoptic-com date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-13T01:24:01.172Z,collect,cache-ttl,gate_result,Cache TTL prune (240h): Pruned 0 URL entries older than 240h; kept 279 fresh URL entries.,Age-based TTL is the only automatic cache-clear; within-TTL entries are reused for speed and fresh by definition,prune-cache.js,high,pass
2026-06-13T01:24:01.172Z,collect,1,anomaly,check-egress.js invoked,url=https://stackoptic.com,check-egress.js,high,n-a
2026-06-13T01:24:01.393Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-06-13T01:24:01.393Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://stackoptic.com,check-wellknown.js,high,n-a
2026-06-13T01:24:01.722Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-06-13T01:24:02.374Z,collect,2.5,sitemap_discovery,Sitemap-defect probe passed,Exit 0,check-sitemap-defects.js,high,pass
2026-06-13T01:24:02.376Z,collect,3,anomaly,Results dir cleared: mx-outputs/audit/2026-06-12/stackoptic.com/.infill,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-06-13T01:24:02.377Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://stackoptic.com,check-ai-usage.js,high,n-a
2026-06-13T01:24:02.590Z,collect,3a,sitemap_discovery,AI Usage Declaration probe passed,Exit 0,check-ai-usage.js,high,pass
2026-06-13T01:24:03.231Z,collect,4,sitemap_discovery,Sitemap: https://stackoptic.com/sitemap.xml,Responded HTTP 200 to HEAD request,https://stackoptic.com/sitemap.xml,high,pass
2026-06-13T01:24:03.233Z,collect,4b,sitemap_discovery,check-sitemap-anomaly.js invoked,url=https://stackoptic.com,check-sitemap-anomaly.js,high,n-a
2026-06-13T01:24:05.792Z,collect,4b,sitemap_discovery,Sitemap not flagged,no aggregator pattern,check-sitemap-anomaly.js,high,pass
2026-06-13T01:24:05.792Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://stackoptic.com/sitemap.xml htmlPagesRequested=10 crawlCap=12 (buffer=2 for non-HTML discovery files) forceFresh=false,mx-reginald/audit/index.js,high,n-a
2026-06-13T01:27:18.867Z,collect,5,score_summary,Crawler complete,Exit 0,mx-outputs/audit/2026-06-12/stackoptic.com/.infill,high,pass
2026-06-13T01:27:18.868Z,collect,5a,sitemap_discovery,discover-urls.js invoked,url=https://stackoptic.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/stackoptic.com/.infill/discovery.json,discover-urls.js,high,n-a
2026-06-13T01:27:22.838Z,collect,5a,sitemap_discovery,Sitemap grading complete,discovery.json written — SITEMAP_* placeholders will be filled at report time,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/stackoptic.com/.infill/discovery.json,high,pass
2026-06-13T01:27:22.838Z,collect,5b,sitemap_discovery,topup-pdfs-from-sitemap.js invoked,results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/stackoptic.com/.infill,topup-pdfs-from-sitemap.js,high,n-a
2026-06-13T01:27:22.934Z,collect,5b,sitemap_discovery,Sitemap PDF topup complete,no append count parsed,topup-pdfs-from-sitemap.js,high,pass
2026-06-13T01:27:22.934Z,collect,5c,sitemap_discovery,capture-pdf-sample.js invoked,url=https://stackoptic.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/stackoptic.com/.infill,capture-pdf-sample.js,high,n-a
2026-06-13T01:27:23.008Z,collect,5c,sitemap_discovery,PDF accessibility sample captured,no pdfCount parsed,capture-pdf-sample.js,high,pass
2026-06-13T01:27:23.008Z,collect,6,anomaly,error-page-test.js invoked,url=https://stackoptic.com,error-page-test.js,high,n-a
2026-06-13T01:27:23.517Z,collect,6,anomaly,Error page test passed,Exit 0,error-page-test.js,high,pass
2026-06-13T01:27:23.518Z,collect,7,agent_access,agent-access-test.js invoked,url=https://stackoptic.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/stackoptic.com/.infill,agent-access-test.js,high,n-a
2026-06-13T01:27:48.540Z,collect,7,agent_access,Agent access test complete,Exit 0 — agent-access.json written to /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/stackoptic.com/.infill,agent-access-test.js,high,pass
2026-06-13T01:27:48.541Z,collect,8,score_summary,check-served-rendered-gap.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/stackoptic.com/.infill,check-served-rendered-gap.js,high,n-a
2026-06-13T01:27:48.628Z,collect,8,score_summary,No significant served/rendered gap,All AI suitability dimensions within 5-point threshold,mx-outputs/audit/2026-06-12/stackoptic.com/.infill/audit_averages.json,high,pass
2026-06-13T01:27:48.629Z,collect,8a,anomaly,slowest-page-probe.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/stackoptic.com/.infill method=cache-busted-x3,slowest-page-probe.js,high,n-a
2026-06-13T01:33:12.447Z,collect,8a,anomaly,Slowest-page re-probe: slow,The slowest page returned slowly on its first cold-cache visit but is served acceptably under cache-busted re-probes; first-time visitors carry a cold-origin cost that the returning-visitor median hides.,slowest-page-perf.json,high,warn
2026-06-13T01:33:12.447Z,collect,8.5,anomaly,check-ab-test.js invoked,url=https://stackoptic.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/stackoptic.com/.infill cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/stackoptic.com/.cache,check-ab-test.js,high,n-a
