timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-06-12T20:50:13.056Z,collect,start,phase_start,collect phase started,url=https://typo3.org pages=10 client=typo3-org date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-12T20:50:13.056Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://typo3.org pages=10 forceFresh=false client=typo3-org date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-12T20:50:13.136Z,collect,cache-ttl,gate_result,Cache TTL prune (240h): Pruned 0 URL entries older than 240h; kept 233 fresh URL entries.,Age-based TTL is the only automatic cache-clear; within-TTL entries are reused for speed and fresh by definition,prune-cache.js,high,pass
2026-06-12T20:50:13.136Z,collect,1,anomaly,check-egress.js invoked,url=https://typo3.org,check-egress.js,high,n-a
2026-06-12T20:50:13.357Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-06-12T20:50:13.358Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://typo3.org,check-wellknown.js,high,n-a
2026-06-12T20:50:20.980Z,collect,2,sitemap_discovery,Well-known probe warned,Exit 1,check-wellknown.js,high,warn
2026-06-12T20:50:26.763Z,collect,2.5,sitemap_discovery,Sitemap-defect probe passed,Exit 0,check-sitemap-defects.js,high,pass
2026-06-12T20:50:26.764Z,collect,3,anomaly,Results dir cleared: mx-outputs/audit/2026-06-12/typo3.org/.infill,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-06-12T20:50:26.765Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://typo3.org,check-ai-usage.js,high,n-a
2026-06-12T20:50:28.872Z,collect,3a,sitemap_discovery,AI Usage Declaration probe warned,Exit 1,check-ai-usage.js,high,warn
2026-06-13T01:45:55.983Z,collect,start,phase_start,collect phase started,url=https://typo3.org pages=10 client=typo3-org date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-13T01:45:55.984Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://typo3.org pages=10 forceFresh=false client=typo3-org date=2026-06-12,audit-pipeline.js,high,n-a
2026-06-13T01:45:56.070Z,collect,cache-ttl,gate_result,Cache TTL prune (240h): Pruned 0 URL entries older than 240h; kept 303 fresh URL entries.,Age-based TTL is the only automatic cache-clear; within-TTL entries are reused for speed and fresh by definition,prune-cache.js,high,pass
2026-06-13T01:45:56.070Z,collect,1,anomaly,check-egress.js invoked,url=https://typo3.org,check-egress.js,high,n-a
2026-06-13T01:45:56.278Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-06-13T01:45:56.279Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://typo3.org,check-wellknown.js,high,n-a
2026-06-13T01:45:56.592Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-06-13T01:46:01.927Z,collect,2.5,sitemap_discovery,Sitemap-defect probe passed,Exit 0,check-sitemap-defects.js,high,pass
2026-06-13T01:46:01.929Z,collect,3,anomaly,Results dir cleared: mx-outputs/audit/2026-06-12/typo3.org/.infill,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-06-13T01:46:01.929Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://typo3.org,check-ai-usage.js,high,n-a
2026-06-13T01:46:02.148Z,collect,3a,sitemap_discovery,AI Usage Declaration probe passed,Exit 0,check-ai-usage.js,high,pass
2026-06-13T01:46:02.629Z,collect,4,sitemap_discovery,Sitemap: https://typo3.org/sitemap.xml,Responded HTTP 200 to HEAD request,https://typo3.org/sitemap.xml,high,pass
2026-06-13T01:46:02.631Z,collect,4b,sitemap_discovery,check-sitemap-anomaly.js invoked,url=https://typo3.org,check-sitemap-anomaly.js,high,n-a
2026-06-13T01:46:03.235Z,collect,4b,sitemap_discovery,Sitemap not flagged,no aggregator pattern,check-sitemap-anomaly.js,high,pass
2026-06-13T01:46:03.236Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://typo3.org/sitemap.xml htmlPagesRequested=10 crawlCap=12 (buffer=2 for non-HTML discovery files) forceFresh=false,mx-reginald/audit/index.js,high,n-a
2026-06-13T01:51:41.165Z,collect,5,score_summary,Crawler complete,Exit 0,mx-outputs/audit/2026-06-12/typo3.org/.infill,high,pass
2026-06-13T01:51:41.165Z,collect,5a,sitemap_discovery,discover-urls.js invoked,url=https://typo3.org out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/typo3.org/.infill/discovery.json,discover-urls.js,high,n-a
2026-06-13T01:51:41.818Z,collect,5a,sitemap_discovery,Sitemap grading complete,discovery.json written — SITEMAP_* placeholders will be filled at report time,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/typo3.org/.infill/discovery.json,high,pass
2026-06-13T01:51:41.819Z,collect,5b,sitemap_discovery,topup-pdfs-from-sitemap.js invoked,results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/typo3.org/.infill,topup-pdfs-from-sitemap.js,high,n-a
2026-06-13T01:51:41.919Z,collect,5b,sitemap_discovery,Sitemap PDF topup complete,no append count parsed,topup-pdfs-from-sitemap.js,high,pass
2026-06-13T01:51:41.919Z,collect,5c,sitemap_discovery,capture-pdf-sample.js invoked,url=https://typo3.org out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/typo3.org/.infill,capture-pdf-sample.js,high,n-a
2026-06-13T01:51:42.021Z,collect,5c,sitemap_discovery,PDF accessibility sample captured,no pdfCount parsed,capture-pdf-sample.js,high,pass
2026-06-13T01:51:42.022Z,collect,6,anomaly,error-page-test.js invoked,url=https://typo3.org,error-page-test.js,high,n-a
2026-06-13T01:51:42.532Z,collect,6,anomaly,Error page test passed,Exit 0,error-page-test.js,high,pass
2026-06-13T01:51:42.533Z,collect,7,agent_access,agent-access-test.js invoked,url=https://typo3.org out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/typo3.org/.infill,agent-access-test.js,high,n-a
2026-06-13T01:52:02.302Z,collect,7,agent_access,Agent access test complete,Exit 0 — agent-access.json written to /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-12/typo3.org/.infill,agent-access-test.js,high,pass
