pattern,severity,wcag,pages_affected,instances,template_level,example_page,structure
"Duplicate id used as an accessibility reference","error","WCAG 2.1 4.1.1","2","2","no","/","div.accordion_item__o8E3c > div > button#accordion-header-0.accordion_trigger__WwK5q"
"Duplicate id used as an accessibility reference","error","WCAG 2.1 4.1.1","2","2","no","/","div.accordion_item__o8E3c > div > button#accordion-header-1.accordion_trigger__WwK5q"
"Duplicate id used as an accessibility reference","error","WCAG 2.1 4.1.1","2","2","no","/","div.accordion_item__o8E3c > div > button#accordion-header-2.accordion_trigger__WwK5q"
"Clickable element with no semantic role","error","WCAG 2.1 4.1.2","1","2","no","/","div.osano-cm-window > div#10444a23-cd7f-4254-aba5-b75ce8ceb539.osano-cm-window__info-dialog.osano-cm-info-dialog > span"
"Duplicate id used as an accessibility reference","error","WCAG 2.1 4.1.1","1","1","no","/","div.accordion_item__o8E3c > div > button#accordion-header-3.accordion_trigger__WwK5q"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","1","no","/","div.osano-cm-window > button#e9d16289-8f21-4163-b17e-53b9b779f6e3.osano-cm-window__widget.osano-cm-widget > svg"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","1","no","/","div.lottie-player > div > svg"
"Clickable element with no semantic role","error","WCAG 2.1 4.1.2","1","2","no","/contact/sales/","div.osano-cm-window > div#3161ae4f-3739-426b-82ea-aaec87fe43f9.osano-cm-window__info-dialog.osano-cm-info-dialog > span"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","1","no","/contact/sales/","div.osano-cm-window > button#3b0f0d41-ab79-40c5-b336-4d5603b6e830.osano-cm-window__widget.osano-cm-widget > svg"
"Clickable element with no semantic role","error","WCAG 2.1 4.1.2","1","2","no","/marketplace/","div.osano-cm-window > div#34a7a516-bfda-4fd2-af83-f7287014700d.osano-cm-window__info-dialog.osano-cm-info-dialog > span"
