severity,file,line,kind,target,note
MUST-FIX,CLAUDE.md,181,backtick-path,"../lib/prompts.js","resolved=../lib/prompts.js"
MUST-FIX,LEARNINGS.md,46,backtick-path,"/zebedee.html","resolved=zebedee.html"
MUST-FIX,LEARNINGS.md,136,backtick-path,"mx-reginald/audit/scripts/repair-report.js","resolved=mx-reginald/audit/scripts/repair-report.js"
MUST-FIX,LEARNINGS.md,174,backtick-path,"mx-reginald/audit/scripts/bin/mx.pdf.sh","resolved=mx-reginald/audit/scripts/bin/mx.pdf.sh"
MUST-FIX,LEARNINGS.md,214,backtick-path,"/styles/foo.css","resolved=styles/foo.css"
MUST-FIX,LEARNINGS.md,236,backtick-path,"scripts/mx-validator.js","resolved=scripts/mx-validator.js"
MUST-FIX,LEARNINGS.md,266,backtick-path,"scripts/rewrite-report.js","resolved=scripts/rewrite-report.js"
MUST-FIX,LEARNINGS.md,288,backtick-path,"bin/infill-report.js","resolved=bin/infill-report.js"
MUST-FIX,LEARNINGS.md,316,backtick-path,"lib/api-retry.js","resolved=lib/api-retry.js"
MUST-FIX,LEARNINGS.md,324,backtick-path,"mx-reginald/audit/scripts/bin/mx.pdf.sh","resolved=mx-reginald/audit/scripts/bin/mx.pdf.sh"
MUST-FIX,LEARNINGS.md,360,backtick-path,"../css/mx-unified.css","resolved=../css/mx-unified.css"
MUST-FIX,LEARNINGS.md,360,backtick-path,"../../js/app.js","resolved=../../js/app.js"
MUST-FIX,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,386,absolute-fs,"/Users/tomcranstoun/.claude/plans/we-use-the-203-000-pure-firefly.md","absolute filesystem path in repo content"
MUST-FIX,REMINDERS.md,77,backtick-path,"scripts/mx-validator.js","resolved=scripts/mx-validator.js"
MUST-FIX,REMINDERS.md,200,backtick-path,"mx-outputs/brand/mx-community-brand-guide.html","resolved=mx-outputs/brand/mx-community-brand-guide.html"
MUST-FIX,REMINDERS.md,204,backtick-path,"scripts/bin/build-mx-pdf-inspector-tarball.sh","resolved=scripts/bin/build-mx-pdf-inspector-tarball.sh"
MUST-FIX,REMINDERS.md,252,backtick-path,"mx-protocols/protocols/chapter-00/chapter-00-protocols.md","resolved=mx-protocols/protocols/chapter-00/chapter-00-protocols.md"
MUST-FIX,REMINDERS.md,313,backtick-path,"mx-outputs/mx-site/blog/drafts/what-a-newborn-llm-wants-from-a-cog.html","resolved=mx-outputs/mx-site/blog/drafts/what-a-newborn-llm-wants-from-a-cog.html"
MUST-FIX,REMINDERS.md,327,backtick-path,"mx-reginald/audit/bin/generate-template-contract.js","resolved=mx-reginald/audit/bin/generate-template-contract.js"
MUST-FIX,REMINDERS.md,337,backtick-path,"scripts/check-runbook-scripts.js","resolved=scripts/check-runbook-scripts.js"
