URL,Marker,Served Present,Rendered Present,Injected by JS,In Head,Served Offset (bytes),Reachable <250KB
https://neomwellbeing.com/,jsonLd,Yes,Yes,No,No,868725,No
https://neomwellbeing.com/,microdata,No,No,No,No,,No
https://neomwellbeing.com/,openGraph,No,No,No,No,,No
https://neomwellbeing.com/,twitterCard,No,No,No,No,,No
https://neomwellbeing.com/,mxGovernance,No,No,No,No,,No
https://neomwellbeing.com/,canonical,Yes,Yes,No,Yes,279,Yes
https://neomwellbeing.com/,discoveryLinks,No,No,No,No,,No
https://neomwellbeing.com/,languageAttr,Yes,Yes,No,Yes,16,Yes
https://neomwellbeing.com/,skipLink,Yes,Yes,No,No,55987,Yes
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,jsonLd,Yes,Yes,No,No,468621,No
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,microdata,Yes,Yes,No,No,342252,No
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,openGraph,Yes,Yes,No,Yes,39794,Yes
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,twitterCard,No,No,No,No,,No
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,mxGovernance,No,No,No,No,,No
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,canonical,Yes,Yes,No,Yes,279,Yes
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,discoveryLinks,No,No,No,No,,No
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,languageAttr,Yes,Yes,No,Yes,16,Yes
https://neomwellbeing.com/products/complete-bliss-standard-scented-candle,skipLink,Yes,Yes,No,No,67235,Yes
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,jsonLd,Yes,Yes,No,No,482291,No
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,microdata,Yes,Yes,No,No,348363,No
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,openGraph,Yes,Yes,No,Yes,40993,Yes
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,twitterCard,No,No,No,No,,No
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,mxGovernance,No,No,No,No,,No
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,canonical,Yes,Yes,No,Yes,279,Yes
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,discoveryLinks,No,No,No,No,,No
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,languageAttr,Yes,Yes,No,Yes,16,Yes
https://neomwellbeing.com/products/perfect-night-sleep-luxury-scented-candle,skipLink,Yes,Yes,No,No,68522,Yes
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,jsonLd,Yes,Yes,No,No,471363,No
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,microdata,Yes,Yes,No,No,343088,No
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,openGraph,Yes,Yes,No,Yes,40356,Yes
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,twitterCard,No,No,No,No,,No
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,mxGovernance,No,No,No,No,,No
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,canonical,Yes,Yes,No,Yes,279,Yes
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,discoveryLinks,No,No,No,No,,No
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,languageAttr,Yes,Yes,No,Yes,16,Yes
https://neomwellbeing.com/products/perfect-nights-sleep-standard-scented-candle,skipLink,Yes,Yes,No,No,67897,Yes
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,jsonLd,Yes,Yes,No,No,486904,No
https://neomwellbeing.com/products/feel-refreshed-luxury-scented-candle,microdata,Yes,Yes,No,No,352381,No
