URL,Marker,Served Present,Rendered Present,Injected by JS,In Head,Served Offset (bytes),Reachable <250KB
https://dotfusion.com/,jsonLd,Yes,Yes,No,Yes,1885,Yes
https://dotfusion.com/,microdata,No,No,No,No,,No
https://dotfusion.com/,openGraph,No,No,No,No,,No
https://dotfusion.com/,twitterCard,No,No,No,No,,No
https://dotfusion.com/,mxGovernance,No,No,No,No,,No
https://dotfusion.com/,canonical,Yes,Yes,No,Yes,1384,Yes
https://dotfusion.com/,discoveryLinks,No,No,No,No,,No
https://dotfusion.com/,languageAttr,Yes,Yes,No,Yes,15,Yes
https://dotfusion.com/,skipLink,No,No,No,No,,No
https://dotfusion.com/services,jsonLd,No,Yes,Yes,No,,No
https://dotfusion.com/services,microdata,Yes,Yes,No,No,111516,Yes
https://dotfusion.com/services,openGraph,No,No,No,No,,No
https://dotfusion.com/services,twitterCard,No,No,No,No,,No
https://dotfusion.com/services,mxGovernance,No,No,No,No,,No
https://dotfusion.com/services,canonical,Yes,Yes,No,Yes,1359,Yes
https://dotfusion.com/services,discoveryLinks,No,No,No,No,,No
https://dotfusion.com/services,languageAttr,Yes,Yes,No,Yes,15,Yes
https://dotfusion.com/services,skipLink,No,No,No,No,,No
https://dotfusion.com/services/headless-cms-agency,jsonLd,Yes,Yes,No,Yes,1674,Yes
https://dotfusion.com/services/headless-cms-agency,microdata,No,No,No,No,,No
https://dotfusion.com/services/headless-cms-agency,openGraph,No,No,No,No,,No
https://dotfusion.com/services/headless-cms-agency,twitterCard,No,No,No,No,,No
https://dotfusion.com/services/headless-cms-agency,mxGovernance,No,No,No,No,,No
https://dotfusion.com/services/headless-cms-agency,canonical,Yes,Yes,No,Yes,1144,Yes
https://dotfusion.com/services/headless-cms-agency,discoveryLinks,No,No,No,No,,No
https://dotfusion.com/services/headless-cms-agency,languageAttr,Yes,Yes,No,Yes,15,Yes
https://dotfusion.com/services/headless-cms-agency,skipLink,No,No,No,No,,No
https://dotfusion.com/services/contentful-development-agency,jsonLd,Yes,Yes,No,Yes,1956,Yes
https://dotfusion.com/services/contentful-development-agency,microdata,No,No,No,No,,No
https://dotfusion.com/services/contentful-development-agency,openGraph,No,No,No,No,,No
https://dotfusion.com/services/contentful-development-agency,twitterCard,No,No,No,No,,No
https://dotfusion.com/services/contentful-development-agency,mxGovernance,No,No,No,No,,No
https://dotfusion.com/services/contentful-development-agency,canonical,Yes,Yes,No,Yes,1416,Yes
https://dotfusion.com/services/contentful-development-agency,discoveryLinks,No,No,No,No,,No
https://dotfusion.com/services/contentful-development-agency,languageAttr,Yes,Yes,No,Yes,15,Yes
https://dotfusion.com/services/contentful-development-agency,skipLink,No,No,No,No,,No
https://dotfusion.com/services/storyblok-development-agency,jsonLd,Yes,Yes,No,Yes,1902,Yes
https://dotfusion.com/services/storyblok-development-agency,microdata,No,No,No,No,,No
https://dotfusion.com/services/storyblok-development-agency,openGraph,No,No,No,No,,No
https://dotfusion.com/services/storyblok-development-agency,twitterCard,No,No,No,No,,No
https://dotfusion.com/services/storyblok-development-agency,mxGovernance,No,No,No,No,,No
https://dotfusion.com/services/storyblok-development-agency,canonical,Yes,Yes,No,Yes,1363,Yes
https://dotfusion.com/services/storyblok-development-agency,discoveryLinks,No,No,No,No,,No
https://dotfusion.com/services/storyblok-development-agency,languageAttr,Yes,Yes,No,Yes,15,Yes
https://dotfusion.com/services/storyblok-development-agency,skipLink,No,No,No,No,,No
https://dotfusion.com/services/agility-cms-development-agency,jsonLd,Yes,Yes,No,Yes,1668,Yes
https://dotfusion.com/services/agility-cms-development-agency,microdata,No,No,No,No,,No
https://dotfusion.com/services/agility-cms-development-agency,openGraph,No,No,No,No,,No
https://dotfusion.com/services/agility-cms-development-agency,twitterCard,No,No,No,No,,No
https://dotfusion.com/services/agility-cms-development-agency,mxGovernance,No,No,No,No,,No
https://dotfusion.com/services/agility-cms-development-agency,canonical,Yes,Yes,No,Yes,1127,Yes
https://dotfusion.com/services/agility-cms-development-agency,discoveryLinks,No,No,No,No,,No
https://dotfusion.com/services/agility-cms-development-agency,languageAttr,Yes,Yes,No,Yes,15,Yes
https://dotfusion.com/services/agility-cms-development-agency,skipLink,No,No,No,No,,No
https://dotfusion.com/services/answer-engine-optimization-agency-dotfusion,jsonLd,No,Yes,Yes,No,,No
https://dotfusion.com/services/answer-engine-optimization-agency-dotfusion,microdata,No,No,No,No,,No
https://dotfusion.com/services/answer-engine-optimization-agency-dotfusion,openGraph,No,No,No,No,,No
https://dotfusion.com/services/answer-engine-optimization-agency-dotfusion,twitterCard,No,No,No,No,,No
https://dotfusion.com/services/answer-engine-optimization-agency-dotfusion,mxGovernance,No,No,No,No,,No
https://dotfusion.com/services/answer-engine-optimization-agency-dotfusion,canonical,Yes,Yes,No,Yes,982,Yes
https://dotfusion.com/services/answer-engine-optimization-agency-dotfusion,discoveryLinks,No,No,No,No,,No
https://dotfusion.com/services/answer-engine-optimization-agency-dotfusion,languageAttr,Yes,Yes,No,Yes,15,Yes
https://dotfusion.com/services/answer-engine-optimization-agency-dotfusion,skipLink,No,No,No,No,,No
https://dotfusion.com/industries,jsonLd,No,Yes,Yes,No,,No
https://dotfusion.com/industries,microdata,No,No,No,No,,No
https://dotfusion.com/industries,openGraph,No,No,No,No,,No
https://dotfusion.com/industries,twitterCard,No,No,No,No,,No
https://dotfusion.com/industries,mxGovernance,No,No,No,No,,No
https://dotfusion.com/industries,canonical,Yes,Yes,No,Yes,1263,Yes
https://dotfusion.com/industries,discoveryLinks,No,No,No,No,,No
https://dotfusion.com/industries,languageAttr,Yes,Yes,No,Yes,15,Yes
https://dotfusion.com/industries,skipLink,No,No,No,No,,No
https://dotfusion.com/about,jsonLd,No,No,No,No,,No
https://dotfusion.com/about,microdata,No,No,No,No,,No
https://dotfusion.com/about,openGraph,No,No,No,No,,No
https://dotfusion.com/about,twitterCard,No,No,No,No,,No
https://dotfusion.com/about,mxGovernance,No,No,No,No,,No
https://dotfusion.com/about,canonical,Yes,Yes,No,Yes,1308,Yes
https://dotfusion.com/about,discoveryLinks,No,No,No,No,,No
https://dotfusion.com/about,languageAttr,Yes,Yes,No,Yes,15,Yes
https://dotfusion.com/about,skipLink,No,No,No,No,,No
https://dotfusion.com/contact-us,jsonLd,No,No,No,No,,No
https://dotfusion.com/contact-us,microdata,No,No,No,No,,No
https://dotfusion.com/contact-us,openGraph,No,No,No,No,,No
https://dotfusion.com/contact-us,twitterCard,No,No,No,No,,No
https://dotfusion.com/contact-us,mxGovernance,No,No,No,No,,No
https://dotfusion.com/contact-us,canonical,Yes,Yes,No,Yes,726,Yes
https://dotfusion.com/contact-us,discoveryLinks,No,No,No,No,,No
https://dotfusion.com/contact-us,languageAttr,Yes,Yes,No,Yes,15,Yes
https://dotfusion.com/contact-us,skipLink,No,No,No,No,,No
