Kind,Page,Message,Location,FailingHost,ErrorCode
console.warn,https://neomwellbeing.com/,"Alpine Expression Error: activeTab is not defined Expression: ""{ '!visible !z-[1] !opacity-100 !relative': activeTab === 'collection-' }"" JSHandle@node",https://neomwellbeing.com/cdn/shop/t/649/assets/core.js?v=95243212954909847951775577783:1,neomwellbeing.com,Alpine Expression Error
console.warn,https://neomwellbeing.com/,"Alpine Expression Error: activeTab is not defined Expression: ""{ '!visible !z-[1] !opacity-100 !relative': activeTab === 'collection-' }"" JSHandle@node",https://neomwellbeing.com/cdn/shop/t/649/assets/core.js?v=95243212954909847951775577783:1,neomwellbeing.com,Alpine Expression Error
pageerror,https://neomwellbeing.com/,activeTab is not defined,,,activeTab is not defined
pageerror,https://neomwellbeing.com/,activeTab is not defined,,,activeTab is not defined
requestfailed,https://neomwellbeing.com/,POST https://neomwellbeing.com/api/collect,net::ERR_ABORTED,neomwellbeing.com,net::ERR_ABORTED
requestfailed,https://neomwellbeing.com/,POST https://neomwellbeing.com/shopify_pay/accelerated_checkout,net::ERR_ABORTED,neomwellbeing.com,net::ERR_ABORTED
requestfailed,https://neomwellbeing.com/,POST https://pagead2.googlesyndication.com/ccm/collect?rcb=19&frm=0&ae=g&en=page_view&dl=https%3A%2F%2Fneomwellbeing.com%2F&scrsrc=www.googletagmanager.com&rnd=405363294.1776964039&navt=n&npa=1&ep.ads_data_redaction=1&gdid=dN2ZkMj.dNTU0Yz&_,net::ERR_ABORTED,pagead2.googlesyndication.com,net::ERR_ABORTED
requestfailed,https://neomwellbeing.com/,POST https://pagead2.googlesyndication.com/ccm/collect?rcb=14&frm=0&ae=g&dl=https%3A%2F%2Fneomwellbeing.com%2F&scrsrc=www.googletagmanager.com&rnd=405363294.1776964039&navt=n&npa=1&ep.ads_data_redaction=1&gdid=dN2ZkMj.dNTU0Yz&_tu=CA&gtm=45b,net::ERR_ABORTED,pagead2.googlesyndication.com,net::ERR_ABORTED
console.warn,https://neomwellbeing.com/,Gorgias Chat is not shown on this page because of the visibility settings.,https://config.gorgias.chat/bundle-loader/01H5WKJYC3N17BXQ31YXP06MVJ?source=shopify1click&shop=neom-organics.myshopify.com:0,config.gorgias.chat,Gorgias Chat is not shown on this page…
console.error,https://neomwellbeing.com/,Failed to load resource: the server responded with a status of 404 (),https://cdn11.bigcommerce.com/s-xcznkkc/stencil/87af7390-92c4-013d-bbc2-0ec36338a6de/e/ecfaa390-961e-013d-e29f-4e2bd9cf891d/img/HeadingShadow.png:0,cdn11.bigcommerce.com,Failed to load resource
console.warn,https://neomwellbeing.com/products/real-luxury-standard-scented-candle,"Alpine Expression Error: Unexpected token 'true' Expression: ""selected === 'Smells Like ? 'true' : 'false'"" JSHandle@node",https://neomwellbeing.com/cdn/shop/t/649/assets/core.js?v=95243212954909847951775577783:1,neomwellbeing.com,Alpine Expression Error
pageerror,https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Cannot read properties of null (reading 'querySelector'),,,Cannot read properties of null (reading 'querySelector')
pageerror,https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Unexpected token 'true',,,Unexpected token 'true'
requestfailed,https://neomwellbeing.com/products/real-luxury-standard-scented-candle,POST https://neomwellbeing.com/api/collect,net::ERR_ABORTED,neomwellbeing.com,net::ERR_ABORTED
pageerror,https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Cannot read properties of undefined (reading 'push'),,,Cannot read properties of undefined (reading 'push')
pageerror,https://neomwellbeing.com/products/real-luxury-standard-scented-candle,Cannot read properties of undefined (reading 'push'),,,Cannot read properties of undefined (reading 'push')
requestfailed,https://neomwellbeing.com/products/real-luxury-standard-scented-candle,POST https://region1.analytics.google.com/g/collect?v=2&tid=G-884D6MBLFG&gtm=45je64m0v868851256za200zb76978387zd76978387&_p=1776964053571&gcs=G111&gcd=13t3t3t3t5l1&npa=0&dma=0&gdid=dN2ZkMj.dNTU0Yz.dYmNjMT&ecid=782409866&_eu=AAAAAGQ&are=1&ci,net::ERR_ABORTED,region1.analytics.google.com,net::ERR_ABORTED
requestfailed,https://neomwellbeing.com/products/real-luxury-standard-scented-candle,POST https://region1.analytics.google.com/g/collect?v=2&tid=G-884D6MBLFG&gtm=45je64m0v868851256za200zb76978387zd76978387&_p=1776964053571&gcs=G111&gcd=13t3t3t3t5l1&npa=0&dma=0&gdid=dN2ZkMj.dNTU0Yz.dYmNjMT&ecid=782409866&_eu=AAAAAGQ&are=1&ci,net::ERR_ABORTED,region1.analytics.google.com,net::ERR_ABORTED
