Page URL,Image URL,File Size (KB),Dimensions,Format,Alt Text,Alt Text Quality Score,Decorative,Is Responsive,Loading Attribute,JS Lazy Pattern,Double Lazy,Compression Level,Optimization Score,Recommendations
https://neomwellbeing.com/,//neomwellbeing.com/cdn/shop/files/Free-Delivery_a21dbea4-4942-4b1c-816e-9fc18cced87e_small.png?v=1717674549,0,?x?,png,,0.00,No,No,none,No,No,High,45.00,"Add alt text; Add width and height attributes; Add loading attribute (lazy for below-fold, eager for above-fold)"
https://neomwellbeing.com/,//neomwellbeing.com/cdn/shop/files/Gift_Icon_238be8cc-8ecc-4e04-a77a-cddfb6e40720_small.svg?v=1717674574,0,?x?,svg,<p>[spend_remaining] away from <strong>FREE </strong>Standard Delivery!</p>,100.00,No,No,none,No,No,High,75.00,"Add width and height attributes; Add loading attribute (lazy for below-fold, eager for above-fold)"
https://neomwellbeing.com/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0,1200x1200,img unknown,NEOM great day magnesium body butter and happiness candle,100.00,No,No,none,Yes,No,High,70.00,"Implement responsive images with srcset; Add loading attribute (lazy for below-fold, eager for above-fold); JS lazy-loading pattern detected (data-src placeholder). Consider migrating to native loading=""lazy"" for below-fold images"
https://neomwellbeing.com/,//neomwellbeing.com/cdn/shopifycloud/storefront/assets/payment_icons/american_express-1efdc6a3.svg,0,40x20,svg,american express,80.00,No,No,none,Yes,No,High,85.00,"Add loading attribute (lazy for below-fold, eager for above-fold); JS lazy-loading pattern detected (data-src placeholder). Consider migrating to native loading=""lazy"" for below-fold images"
https://neomwellbeing.com/,//neomwellbeing.com/cdn/shopifycloud/storefront/assets/payment_icons/visa-65d650f7.svg,0,40x20,svg,visa,20.00,No,No,none,Yes,No,High,85.00,"Improve alt text description; Add loading attribute (lazy for below-fold, eager for above-fold); JS lazy-loading pattern detected (data-src placeholder). Consider migrating to native loading=""lazy"" for below-fold images"
https://neomwellbeing.com/,//neomwellbeing.com/cdn/shopifycloud/storefront/assets/payment_icons/paypal-a7c68b85.svg,0,40x20,svg,paypal,30.00,No,No,none,Yes,No,High,85.00,"Improve alt text description; Add loading attribute (lazy for below-fold, eager for above-fold); JS lazy-loading pattern detected (data-src placeholder). Consider migrating to native loading=""lazy"" for below-fold images"
https://neomwellbeing.com/,//neomwellbeing.com/cdn/shopifycloud/storefront/assets/payment_icons/google_pay-34c30515.svg,0,40x20,svg,google pay,50.00,No,No,none,Yes,No,High,85.00,"Add loading attribute (lazy for below-fold, eager for above-fold); JS lazy-loading pattern detected (data-src placeholder). Consider migrating to native loading=""lazy"" for below-fold images"
https://neomwellbeing.com/,//neomwellbeing.com/cdn/shopifycloud/storefront/assets/payment_icons/apple_pay-1721ebad.svg,0,40x20,svg,apple pay,45.00,No,No,none,Yes,No,High,85.00,"Improve alt text description; Add loading attribute (lazy for below-fold, eager for above-fold); JS lazy-loading pattern detected (data-src placeholder). Consider migrating to native loading=""lazy"" for below-fold images"
https://neomwellbeing.com/,//neomwellbeing.com/cdn/shopifycloud/storefront/assets/payment_icons/maestro-61c41725.svg,0,40x20,svg,maestro,35.00,No,No,none,Yes,No,High,85.00,"Improve alt text description; Add loading attribute (lazy for below-fold, eager for above-fold); JS lazy-loading pattern detected (data-src placeholder). Consider migrating to native loading=""lazy"" for below-fold images"
https://neomwellbeing.com/,//neomwellbeing.com/cdn/shopifycloud/storefront/assets/payment_icons/master-54b5a7ce.svg,0,40x20,svg,master,30.00,No,No,none,Yes,No,High,85.00,"Improve alt text description; Add loading attribute (lazy for below-fold, eager for above-fold); JS lazy-loading pattern detected (data-src placeholder). Consider migrating to native loading=""lazy"" for below-fold images"
https://neomwellbeing.com/,//neomwellbeing.com/cdn/shopifycloud/storefront/assets/payment_icons/shopify_pay-925ab76d.svg,0,40x20,svg,shopify pay,55.00,No,No,none,Yes,No,High,85.00,"Add loading attribute (lazy for below-fold, eager for above-fold); JS lazy-loading pattern detected (data-src placeholder). Consider migrating to native loading=""lazy"" for below-fold images"
https://neomwellbeing.com/,//neomwellbeing.com/cdn/shopifycloud/storefront/assets/payment_icons/klarna-637a076e.svg,0,40x20,svg,klarna-pay-later,80.00,No,No,none,Yes,No,High,85.00,"Add loading attribute (lazy for below-fold, eager for above-fold); JS lazy-loading pattern detected (data-src placeholder). Consider migrating to native loading=""lazy"" for below-fold images"
https://neomwellbeing.com/,//neomwellbeing.com/cdn/shop/files/download.jpg?v=1707411158&width=25,0,318x159,jpg,Translation missing: en-GB.sections.header.select_store,100.00,No,Yes,none,No,No,High,90.00,"Add loading attribute (lazy for below-fold, eager for above-fold)"
