URL,Marker,Served Present,Rendered Present,Injected by JS,In Head,Served Offset (bytes),Reachable <250KB
https://mx.allabout.network/,jsonLd,Yes,Yes,No,Yes,2480,Yes
https://mx.allabout.network/,microdata,No,No,No,No,,No
https://mx.allabout.network/,openGraph,Yes,Yes,No,Yes,717,Yes
https://mx.allabout.network/,twitterCard,Yes,Yes,No,Yes,1393,Yes
https://mx.allabout.network/,mxGovernance,Yes,Yes,No,Yes,1914,Yes
https://mx.allabout.network/,canonical,Yes,Yes,No,Yes,489,Yes
https://mx.allabout.network/,discoveryLinks,Yes,Yes,No,Yes,550,Yes
https://mx.allabout.network/,languageAttr,Yes,Yes,No,Yes,16,Yes
https://mx.allabout.network/,skipLink,Yes,Yes,No,No,4772,Yes
https://mx.allabout.network/books/,jsonLd,Yes,Yes,No,Yes,3479,Yes
https://mx.allabout.network/books/,microdata,Yes,Yes,No,No,22139,Yes
https://mx.allabout.network/books/,openGraph,Yes,Yes,No,Yes,725,Yes
https://mx.allabout.network/books/,twitterCard,Yes,Yes,No,Yes,1411,Yes
https://mx.allabout.network/books/,mxGovernance,Yes,Yes,No,Yes,2486,Yes
https://mx.allabout.network/books/,canonical,Yes,Yes,No,Yes,491,Yes
https://mx.allabout.network/books/,discoveryLinks,Yes,Yes,No,Yes,558,Yes
https://mx.allabout.network/books/,languageAttr,Yes,Yes,No,Yes,16,Yes
https://mx.allabout.network/books/,skipLink,Yes,Yes,No,No,17383,Yes
https://mx.allabout.network/books/introduction.html,jsonLd,Yes,Yes,No,Yes,3079,Yes
https://mx.allabout.network/books/introduction.html,microdata,No,No,No,No,,No
https://mx.allabout.network/books/introduction.html,openGraph,Yes,Yes,No,Yes,650,Yes
https://mx.allabout.network/books/introduction.html,twitterCard,Yes,Yes,No,Yes,1589,Yes
https://mx.allabout.network/books/introduction.html,mxGovernance,Yes,Yes,No,Yes,2485,Yes
https://mx.allabout.network/books/introduction.html,canonical,Yes,Yes,No,Yes,530,Yes
https://mx.allabout.network/books/introduction.html,discoveryLinks,Yes,Yes,No,Yes,2298,Yes
https://mx.allabout.network/books/introduction.html,languageAttr,Yes,Yes,No,Yes,16,Yes
https://mx.allabout.network/books/introduction.html,skipLink,Yes,Yes,No,No,11058,Yes
https://mx.allabout.network/books/handbook.html,jsonLd,Yes,Yes,No,Yes,3024,Yes
https://mx.allabout.network/books/handbook.html,microdata,No,No,No,No,,No
https://mx.allabout.network/books/handbook.html,openGraph,Yes,Yes,No,Yes,631,Yes
https://mx.allabout.network/books/handbook.html,twitterCard,Yes,Yes,No,Yes,1551,Yes
https://mx.allabout.network/books/handbook.html,mxGovernance,Yes,Yes,No,Yes,2432,Yes
https://mx.allabout.network/books/handbook.html,canonical,Yes,Yes,No,Yes,515,Yes
https://mx.allabout.network/books/handbook.html,discoveryLinks,Yes,Yes,No,Yes,2245,Yes
https://mx.allabout.network/books/handbook.html,languageAttr,Yes,Yes,No,Yes,16,Yes
https://mx.allabout.network/books/handbook.html,skipLink,Yes,Yes,No,No,21516,Yes
https://mx.allabout.network/books/protocols.html,jsonLd,Yes,Yes,No,Yes,3089,Yes
https://mx.allabout.network/books/protocols.html,microdata,No,No,No,No,,No
https://mx.allabout.network/books/protocols.html,openGraph,Yes,Yes,No,Yes,649,Yes
https://mx.allabout.network/books/protocols.html,twitterCard,Yes,Yes,No,Yes,1588,Yes
https://mx.allabout.network/books/protocols.html,mxGovernance,Yes,Yes,No,Yes,2487,Yes
https://mx.allabout.network/books/protocols.html,canonical,Yes,Yes,No,Yes,532,Yes
https://mx.allabout.network/books/protocols.html,discoveryLinks,Yes,Yes,No,Yes,2300,Yes
https://mx.allabout.network/books/protocols.html,languageAttr,Yes,Yes,No,Yes,16,Yes
https://mx.allabout.network/books/protocols.html,skipLink,Yes,Yes,No,No,11368,Yes
https://mx.allabout.network/books/the-author.html,jsonLd,Yes,Yes,No,Yes,2976,Yes
https://mx.allabout.network/books/the-author.html,microdata,No,No,No,No,,No
https://mx.allabout.network/books/the-author.html,openGraph,Yes,Yes,No,Yes,650,Yes
https://mx.allabout.network/books/the-author.html,twitterCard,Yes,Yes,No,Yes,1585,Yes
https://mx.allabout.network/books/the-author.html,mxGovernance,Yes,Yes,No,Yes,2475,Yes
https://mx.allabout.network/books/the-author.html,canonical,Yes,Yes,No,Yes,532,Yes
https://mx.allabout.network/books/the-author.html,discoveryLinks,Yes,Yes,No,Yes,2288,Yes
https://mx.allabout.network/books/the-author.html,languageAttr,Yes,Yes,No,Yes,16,Yes
https://mx.allabout.network/books/the-author.html,skipLink,Yes,Yes,No,No,8783,Yes
https://mx.allabout.network/books/training-vs-inference.html,jsonLd,Yes,Yes,No,Yes,3043,Yes
https://mx.allabout.network/books/training-vs-inference.html,microdata,No,No,No,No,,No
https://mx.allabout.network/books/training-vs-inference.html,openGraph,Yes,Yes,No,Yes,636,Yes
https://mx.allabout.network/books/training-vs-inference.html,twitterCard,Yes,Yes,No,Yes,1614,Yes
https://mx.allabout.network/books/training-vs-inference.html,mxGovernance,Yes,Yes,No,Yes,2537,Yes
https://mx.allabout.network/books/training-vs-inference.html,canonical,Yes,Yes,No,Yes,507,Yes
https://mx.allabout.network/books/training-vs-inference.html,discoveryLinks,Yes,Yes,No,Yes,2350,Yes
https://mx.allabout.network/books/training-vs-inference.html,languageAttr,Yes,Yes,No,Yes,16,Yes
https://mx.allabout.network/books/training-vs-inference.html,skipLink,Yes,Yes,No,No,7259,Yes
https://mx.allabout.network/books/footnotes.html,jsonLd,Yes,Yes,No,Yes,2435,Yes
https://mx.allabout.network/books/footnotes.html,microdata,No,No,No,No,,No
https://mx.allabout.network/books/footnotes.html,openGraph,Yes,Yes,No,Yes,537,Yes
https://mx.allabout.network/books/footnotes.html,twitterCard,Yes,Yes,No,Yes,1267,Yes
https://mx.allabout.network/books/footnotes.html,mxGovernance,Yes,Yes,No,Yes,1855,Yes
https://mx.allabout.network/books/footnotes.html,canonical,Yes,Yes,No,Yes,433,Yes
https://mx.allabout.network/books/footnotes.html,discoveryLinks,Yes,Yes,No,Yes,1683,Yes
https://mx.allabout.network/books/footnotes.html,languageAttr,Yes,Yes,No,Yes,16,Yes
https://mx.allabout.network/books/footnotes.html,skipLink,Yes,Yes,No,No,5845,Yes
https://mx.allabout.network/books/faq.html,jsonLd,Yes,Yes,No,Yes,2077,Yes
https://mx.allabout.network/books/faq.html,microdata,No,No,No,No,,No
https://mx.allabout.network/books/faq.html,openGraph,Yes,Yes,No,Yes,436,Yes
https://mx.allabout.network/books/faq.html,twitterCard,Yes,Yes,No,Yes,1005,Yes
https://mx.allabout.network/books/faq.html,mxGovernance,Yes,Yes,No,Yes,1555,Yes
https://mx.allabout.network/books/faq.html,canonical,Yes,Yes,No,Yes,1698,Yes
https://mx.allabout.network/books/faq.html,discoveryLinks,Yes,Yes,No,Yes,1773,Yes
