URL,Schema Type,Severity,Property,Why It Matters
https://www.exo.inc/,jsonLd,location,outside-head,jsonLd is present in served HTML but emitted inside <body> at byte 5695. Agents that parse only the <head> will not see it.
https://www.exo.inc/book-demo,jsonLd,location,outside-head,jsonLd is present in served HTML but emitted inside <body> at byte 5069. Agents that parse only the <head> will not see it.
https://www.exo.inc/book-demo,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://www.exo.inc/book-demo,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://www.exo.inc/book-demo,WebSite,recommended,author,Site has no top-level author/owner declared
https://www.exo.inc/book-demo,WebSite,recommended,publisher,Site has no top-level publisher declared
https://www.exo.inc/book-demo/thank-you,jsonLd,location,outside-head,jsonLd is present in served HTML but emitted inside <body> at byte 5006. Agents that parse only the <head> will not see it.
https://www.exo.inc/book-demo/thank-you,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://www.exo.inc/book-demo/thank-you,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://www.exo.inc/book-demo/thank-you,WebSite,recommended,author,Site has no top-level author/owner declared
https://www.exo.inc/book-demo/thank-you,WebSite,recommended,publisher,Site has no top-level publisher declared
https://www.exo.inc/careers,jsonLd,location,outside-head,jsonLd is present in served HTML but emitted inside <body> at byte 5182. Agents that parse only the <head> will not see it.
https://www.exo.inc/careers,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://www.exo.inc/careers,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://www.exo.inc/careers,WebSite,recommended,author,Site has no top-level author/owner declared
https://www.exo.inc/careers,WebSite,recommended,publisher,Site has no top-level publisher declared
https://www.exo.inc/contact,jsonLd,location,outside-head,jsonLd is present in served HTML but emitted inside <body> at byte 4895. Agents that parse only the <head> will not see it.
https://www.exo.inc/contact,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://www.exo.inc/contact,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://www.exo.inc/contact,WebSite,recommended,author,Site has no top-level author/owner declared
https://www.exo.inc/contact,WebSite,recommended,publisher,Site has no top-level publisher declared
