timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-02T13:38:56.616Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/meetkai-report.md results=mx-audit/results/www.meetkai.com,audit-pipeline.js,high,n-a
2026-05-02T13:38:56.617Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/meetkai-report.md results=mx-audit/results/www.meetkai.com cache=/Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,audit-pipeline.js,high,n-a
2026-05-02T13:38:56.618Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/meetkai-report.md template=/Users/tomcranstoun/Documents/MX-hub/mx-audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-02T13:38:56.742Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-02T13:38:56.742Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/meetkai-report.md,check-report-tone.js,high,n-a
2026-05-02T13:38:56.889Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 1 violation(s); first: line 516: ""$9""",check-report-tone.js,high,fail
2026-05-02T13:38:57.268Z,gates,0c,gate_result,HTML render heading count OK: 29/29,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-02T13:38:57.269Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/meetkai-report.md,check-template-leaks.js,high,n-a
2026-05-02T13:38:57.396Z,gates,1,gate_result,Template leak check passed,Exit 0 — no unresolved placeholders or REWRITE blocks,check-template-leaks.js,high,pass
2026-05-02T13:38:57.396Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/meetkai-report.md --results mx-audit/results/www.meetkai.com --cache /Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,verify-audit-report.js,high,n-a
2026-05-02T13:38:57.561Z,gates,2,gate_result,Deterministic verifier passed,Exit 0 — numeric=29 url=26 html=0 passed=29 skipped=27 total=56,verify-audit-report.js,high,pass
2026-05-02T13:38:57.561Z,gates,2,placeholder_fill,"Verification: 0 deterministic, 0 synthesised, 27 skipped",Deterministic ratio 0% — high LLM ratio indicates data gaps,mx-crm/outreach/2026-05-02/meetkai-report-verification.json,high,pass
2026-05-02T13:38:57.561Z,gates,3,gate_result,audit-fierce-critic.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/meetkai-report.md,audit-fierce-critic.js,high,n-a
2026-05-02T13:39:21.014Z,gates,3,gate_result,Fierce critic FAILED,"Exit 1 — 7 finding(s) in categories: subtle-failure-framing, hollow-recommendation, fabricated-specificity, voice-drift",audit-fierce-critic.js,high,fail
2026-05-02T13:39:21.014Z,gates,4,llm_round,LLM judgment round 1 — threshold=block,Prior rounds: 0; auto-warn at 3; within cap,audit-pipeline.js,high,n-a
2026-05-02T13:39:21.014Z,gates,4,gate_result,audit-llm-judgment.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/meetkai-report.md results=mx-audit/results/www.meetkai.com threshold=block priorRounds=0,audit-llm-judgment.js,high,n-a
2026-05-02T13:39:33.918Z,gates,4,gate_result,LLM judgment FAILED,"Exit 1 round=1 findings=4 categories: tone-inconsistency, missing-in-engagement, hedged-vs-asserted-imbalance, sample-vs-total-overreach",audit-llm-judgment.js,high,fail
2026-05-02T13:39:33.918Z,gates,5,gate_result,Gates pipeline BLOCKED — PDF not generated,One or more gates failed; see individual gate rows,audit-pipeline.js,high,fail
2026-05-02T13:39:33.918Z,gates,end,phase_end,gates phase ended — FAILED,Exiting with gate failures; PDF not generated,audit-pipeline.js,high,fail
2026-05-02T14:04:03.776Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/meetkai-report.md results=mx-outputs/pdf/outreach/baremetal.vc,audit-pipeline.js,high,n-a
