timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-02T13:38:58.151Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/pentatonic-report.md results=mx-audit/results/pentatonic.com,audit-pipeline.js,high,n-a
2026-05-02T13:38:58.152Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/pentatonic-report.md results=mx-audit/results/pentatonic.com cache=/Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,audit-pipeline.js,high,n-a
2026-05-02T13:38:58.154Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/pentatonic-report.md template=/Users/tomcranstoun/Documents/MX-hub/mx-audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-02T13:38:58.281Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-02T13:38:58.281Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/pentatonic-report.md,check-report-tone.js,high,n-a
2026-05-02T13:38:58.421Z,gates,0b,gate_result,Tone check passed,Exit 0 — no tone violations,check-report-tone.js,high,pass
2026-05-02T13:38:58.782Z,gates,0c,gate_result,HTML render heading count OK: 29/29,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-02T13:38:58.782Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/pentatonic-report.md,check-template-leaks.js,high,n-a
2026-05-02T13:38:58.910Z,gates,1,gate_result,Template leak check passed,Exit 0 — no unresolved placeholders or REWRITE blocks,check-template-leaks.js,high,pass
2026-05-02T13:38:58.910Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/pentatonic-report.md --results mx-audit/results/pentatonic.com --cache /Users/tomcranstoun/Documents/MX-hub/mx-audit/.cache,verify-audit-report.js,high,n-a
2026-05-02T13:38:59.074Z,gates,2,gate_result,Deterministic verifier passed,Exit 0 — numeric=25 url=27 html=0 passed=25 skipped=28 total=53,verify-audit-report.js,high,pass
2026-05-02T13:38:59.075Z,gates,2,placeholder_fill,"Verification: 0 deterministic, 0 synthesised, 28 skipped",Deterministic ratio 0% — high LLM ratio indicates data gaps,mx-crm/outreach/2026-05-02/pentatonic-report-verification.json,high,pass
2026-05-02T13:38:59.075Z,gates,3,gate_result,audit-fierce-critic.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-02/pentatonic-report.md,audit-fierce-critic.js,high,n-a
2026-05-02T13:39:11.121Z,gates,3,gate_result,Fierce critic FAILED,"Exit 1 — 4 finding(s) in categories: subtle-failure-framing, hollow-recommendation, fabricated-specificity",audit-fierce-critic.js,high,fail
2026-05-02T13:39:11.122Z,gates,4,llm_round,LLM judgment round 1 — threshold=block,Prior rounds: 0; auto-warn at 3; within cap,audit-pipeline.js,high,n-a
