timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-04T10:25:25.480Z,collect,start,phase_start,collect phase started,url=https://mx.allabout.network pages=70 client=mx-allabout-network date=2026-05-04,audit-pipeline.js,high,n-a
2026-05-04T10:25:25.480Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://mx.allabout.network pages=70 forceFresh=false client=mx-allabout-network date=2026-05-04,audit-pipeline.js,high,n-a
2026-05-04T10:25:25.482Z,collect,1,anomaly,check-egress.js invoked,url=https://mx.allabout.network,check-egress.js,high,n-a
2026-05-04T10:25:25.768Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-05-04T10:25:25.769Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://mx.allabout.network,check-wellknown.js,high,n-a
2026-05-04T10:25:27.078Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-05-04T10:25:27.086Z,collect,3,anomaly,Results dir cleared: mx-audit/results/mx.allabout.network,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-05-04T10:25:27.651Z,collect,4,sitemap_discovery,Sitemap: https://mx.allabout.network/sitemap.xml,Responded HTTP 200 to HEAD request,https://mx.allabout.network/sitemap.xml,high,pass
2026-05-04T10:25:27.652Z,collect,5,sitemap_discovery,mx-audit/index.js invoked,entry=https://mx.allabout.network/sitemap.xml pages=70 forceFresh=false,mx-audit/index.js,high,n-a
2026-05-04T10:35:58.216Z,collect,5,score_summary,Crawler complete,Exit 0,mx-audit/results/mx.allabout.network,high,pass
2026-05-04T10:35:58.216Z,collect,6,anomaly,error-page-test.js invoked,url=https://mx.allabout.network,error-page-test.js,high,n-a
2026-05-04T10:35:58.685Z,collect,6,anomaly,Error page test passed,Exit 0,error-page-test.js,high,pass
2026-05-04T10:35:58.685Z,collect,7,agent_access,agent-access-test.js invoked,url=https://mx.allabout.network out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/results/mx.allabout.network,agent-access-test.js,high,n-a
2026-05-04T10:35:59.130Z,collect,7,agent_access,Agent access test complete,Exit 0 — agent-access.json written to /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/results/mx.allabout.network,agent-access-test.js,high,pass
2026-05-04T10:35:59.130Z,collect,8,score_summary,check-served-rendered-gap.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/results/mx.allabout.network,check-served-rendered-gap.js,high,n-a
2026-05-04T10:35:59.200Z,collect,8,score_summary,No significant served/rendered gap,All AI suitability dimensions within 5-point threshold,mx-audit/results/mx.allabout.network/audit_averages.json,high,pass
2026-05-04T10:35:59.200Z,collect,9,score_summary,generate-preflight-findings.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/results/mx.allabout.network out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/results/mx.allabout.network/preflight-findings.json,generate-preflight-findings.js,high,n-a
2026-05-04T10:35:59.278Z,collect,9,score_summary,Preflight findings written,"Pre-digested scores, findings, schema maturity, journey, agent access — ready for LLM phases",mx-audit/results/mx.allabout.network/preflight-findings.json,high,pass
2026-05-04T10:35:59.278Z,collect,9,absence_finding,No llms.txt published,Agents have no machine-curated index of site content or declared access policy,mx-audit/results/mx.allabout.network/preflight-findings.json,high,warn
2026-05-04T10:35:59.278Z,collect,9,absence_finding,No sitemap.xml,Crawlers rely on link discovery only; unlisted pages may not be indexed,mx-audit/results/mx.allabout.network/preflight-findings.json,high,warn
2026-05-04T10:35:59.278Z,collect,9,absence_finding,"Security headers absent: HSTS, CSP, X-Frame-Options, X-Content-Type-Options",Missing security headers increase exposure to content injection and clickjacking,mx-audit/results/mx.allabout.network/preflight-findings.json,high,warn
2026-05-04T10:35:59.278Z,collect,10,score_summary,Collect phase complete,All automated steps finished including preflight-findings.json,audit-pipeline.js,high,pass
2026-05-04T10:35:59.278Z,collect,end,phase_end,collect phase ended — SUCCESS,All automated collection steps complete; LLM phases ready to start,audit-pipeline.js,high,pass
2026-05-04T10:41:06.529Z,report,start,phase_start,report phase started,hostname=mx.allabout.network client=mx-allabout-network date=2026-05-04 model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-04T10:41:06.529Z,report,0,template_selection,Template: web-audit-suite-template.md,Generic template — no commerce anchor,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/results/mx.allabout.network/seo_scores.csv,high,pass
2026-05-04T10:41:06.530Z,report,1,placeholder_fill,infill-report.js invoked,template=web-audit-suite-template.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/results/mx.allabout.network out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-04/.infilled/mx-allabout-network.md,infill-report.js,high,n-a
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"AGENT_NAME","csv-lookup","Tom Cranstoun",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"AGENT_COMPANY","csv-lookup","CogNovaMX Ltd",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"AGENT_EMAIL","csv-lookup","info@cognovamx.com",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"AGENT_WEBSITE","csv-lookup","https://allabout.network",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"AGENT_LEGAL","csv-lookup","",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"CLIENT_NAME","csv-lookup","Mx Allabout",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"CLIENT_SHORT_NAME","csv-lookup","mx-allabout-network",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"CLIENT_SLUG","csv-lookup","mx-allabout-network",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"CLIENT_URL","csv-lookup","https://mx.allabout.network",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"CLIENT_HOSTNAME","csv-lookup","mx.allabout.network",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"TARGET_URL","csv-lookup","https://mx.allabout.network",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"DATE","csv-lookup","4 May 2026",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"DATE_YYYY_MM_DD","csv-lookup","2026-05-04",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"YEAR","csv-lookup","2026",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"YYYYMMDD","csv-lookup","20260504",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"NUMBER_OF_PAGES_AUDITED","csv-lookup","66",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"NUMBER_OF_PAGES_AUDITED_LABEL","csv-lookup","66 pages",high,pass
2026-05-04T10:41:06Z,report,5-infill,placeholder_fill,"NAV_PAGES","csv-lookup","6",high,pass
