timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-04T10:45:35.071Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-04/mx-allabout-network-report.md results=mx-audit/results/mx.allabout.network,audit-pipeline.js,high,n-a
2026-05-04T10:45:35.072Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-04/mx-allabout-network-report.md results=mx-audit/results/mx.allabout.network cache=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/.cache,audit-pipeline.js,high,n-a
2026-05-04T10:45:35.074Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-04/mx-allabout-network-report.md template=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-04T10:45:35.212Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-04T10:45:35.212Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-04/mx-allabout-network-report.md,check-report-tone.js,high,n-a
2026-05-04T10:45:35.366Z,gates,0b,gate_result,Tone check FAILED,"Exit 1 — 2 violation(s); first: line 641: ""€10,000""",check-report-tone.js,high,fail
2026-05-04T10:45:36.060Z,gates,0c,gate_result,HTML render heading count OK: 28/28,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-04T10:45:36.060Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-04/mx-allabout-network-report.md,check-template-leaks.js,high,n-a
2026-05-04T10:45:36.197Z,gates,1,gate_result,Template leak check FAILED,Exit 1 — 1 leak(s),check-template-leaks.js,high,fail
2026-05-04T10:45:36.197Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-04/mx-allabout-network-report.md --results mx-audit/results/mx.allabout.network --cache /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-audit/.cache,verify-audit-report.js,high,n-a
2026-05-04T10:45:36.459Z,gates,2,gate_result,Deterministic verifier passed,Exit 0 — numeric=32 url=41 html=0 passed=40 skipped=41 total=81,verify-audit-report.js,high,pass
2026-05-04T10:45:36.459Z,gates,2,placeholder_fill,"Verification: 0 deterministic, 0 synthesised, 41 skipped",Deterministic ratio 0% — high LLM ratio indicates data gaps,mx-crm/outreach/2026-05-04/mx-allabout-network-report-verification.json,high,pass
2026-05-04T10:45:36.460Z,gates,3,gate_result,audit-fierce-critic.js invoked,report=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-crm/outreach/2026-05-04/mx-allabout-network-report.md,audit-fierce-critic.js,high,n-a
