timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-08T10:20:17.880Z,collect,start,phase_start,collect phase started,url=https://dotfusion.com pages=5 client=dotfusion-com date=2026-05-08,audit-pipeline.js,high,n-a
2026-05-08T10:20:17.880Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://dotfusion.com pages=5 forceFresh=false client=dotfusion-com date=2026-05-08,audit-pipeline.js,high,n-a
2026-05-08T10:20:17.882Z,collect,1,anomaly,check-egress.js invoked,url=https://dotfusion.com,check-egress.js,high,n-a
2026-05-08T10:20:18.055Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-05-08T10:20:18.055Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://dotfusion.com,check-wellknown.js,high,n-a
2026-05-08T10:20:20.319Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-05-08T10:20:20.320Z,collect,3,anomaly,Results dir cleared: mx-audit/results/dotfusion.com,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-05-08T10:20:20.838Z,collect,4,sitemap_discovery,Sitemap: https://dotfusion.com/sitemap.xml,Responded HTTP 200 to HEAD request,https://dotfusion.com/sitemap.xml,high,pass
2026-05-08T10:20:20.839Z,collect,5,sitemap_discovery,mx-audit/index.js invoked,entry=https://dotfusion.com/sitemap.xml pages=5 forceFresh=false,mx-audit/index.js,high,n-a
2026-05-08T10:22:50.831Z,collect,5,score_summary,Crawler complete,Exit 0,mx-audit/results/dotfusion.com,high,pass
2026-05-08T10:22:50.832Z,collect,6,anomaly,error-page-test.js invoked,url=https://dotfusion.com,error-page-test.js,high,n-a
2026-05-08T10:22:51.221Z,collect,6,anomaly,Error page test passed,Exit 0,error-page-test.js,high,pass
2026-05-08T10:22:51.221Z,collect,7,agent_access,agent-access-test.js invoked,url=https://dotfusion.com out=/Users/tomcranstoun/Documents/MX-hub/mx-audit/results/dotfusion.com,agent-access-test.js,high,n-a
