timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-09T08:41:05.992Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-09/dotfusion-com-report.md results=/Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/results,audit-pipeline.js,high,n-a
2026-05-09T08:41:05.993Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-09/dotfusion-com-report.md results=/Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/results cache=/Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/cache,audit-pipeline.js,high,n-a
2026-05-09T08:41:05.994Z,gates,0a,gate_result,check-template-coverage.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-09/dotfusion-com-report.md template=/Users/tomcranstoun/Documents/MX-hub/mx-audit/templates/web-audit-suite-template.md,check-template-coverage.js,high,n-a
2026-05-09T08:41:06.113Z,gates,0a,gate_result,Template coverage passed,Exit 0 — no [UPPERCASE] placeholders remain,check-template-coverage.js,high,pass
2026-05-09T08:41:06.113Z,gates,0b,gate_result,check-report-tone.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-09/dotfusion-com-report.md,check-report-tone.js,high,n-a
2026-05-09T08:41:06.251Z,gates,0b,gate_result,Tone check passed,Exit 0 — no tone violations,check-report-tone.js,high,pass
2026-05-09T08:41:06.941Z,gates,0c,gate_result,HTML render heading count OK: 29/29,pandoc rendered all H2 headings — no raw-tag truncation,audit-pipeline.js,high,pass
2026-05-09T08:41:06.941Z,gates,0d,gate_result,check-report-contradictions.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-09/dotfusion-com-report.md ok-contradictions=false,check-report-contradictions.js,high,n-a
2026-05-09T08:41:07.075Z,gates,0d,gate_result,Contradiction check passed,Exit 0 — no dimension appears with conflicting band labels,check-report-contradictions.js,high,pass
2026-05-09T08:41:07.075Z,gates,0e,gate_result,check-report-section-completeness.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-09/dotfusion-com-report.md,check-report-section-completeness.js,high,n-a
2026-05-09T08:41:07.201Z,gates,0e,gate_result,Section completeness passed,Exit 0 — all At-a-Glance priority rows have complete findings blocks,check-report-section-completeness.js,high,pass
2026-05-09T08:41:07.202Z,gates,0f,gate_result,check-report-rating-grade.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-09/dotfusion-com-report.md,check-report-rating-grade.js,high,n-a
2026-05-09T08:41:07.324Z,gates,0f,gate_result,Rating-grade check passed,Exit 0 — all rating/grade and score/band pairs match expected thresholds,check-report-rating-grade.js,high,pass
2026-05-09T08:41:07.325Z,gates,1,gate_result,check-template-leaks.js invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-09/dotfusion-com-report.md,check-template-leaks.js,high,n-a
2026-05-09T08:41:07.448Z,gates,1,gate_result,Template leak check passed,Exit 0 — no unresolved placeholders or REWRITE blocks,check-template-leaks.js,high,pass
2026-05-09T08:41:07.448Z,gates,2,gate_result,verify-audit-report.js invoked,args: --report /Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-09/dotfusion-com-report.md --results /Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/results --cache /Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/cache,verify-audit-report.js,high,n-a
2026-05-09T08:41:07.631Z,gates,2,gate_result,Deterministic verifier passed,Exit 0 — numeric=43 url=27 html=0 passed=43 skipped=28 total=71,verify-audit-report.js,high,pass
2026-05-09T08:41:07.632Z,gates,2,placeholder_fill,"Verification: 0 deterministic, 0 synthesised, 28 skipped",Deterministic ratio 0% — high LLM ratio indicates data gaps,mx-crm/outreach/2026-05-09/dotfusion-com-report-verification.json,high,pass
2026-05-09T08:41:07.632Z,gates,3,fierce_round,Fierce critic round 1 of 3,Prior iterations: 0,audit-pipeline.js,high,n-a
2026-05-09T08:41:34.800Z,gates,3,gate_result,Fierce critic passed,Exit 0 — round 1,audit-fierce-critic.js,high,pass
2026-05-09T08:41:34.801Z,gates,4,llm_round,LLM judgment round 1 of 3,Prior iterations: 0,audit-pipeline.js,high,n-a
2026-05-09T08:41:45.801Z,gates,4,gate_result,LLM judgment passed,Exit 0 — round 1 withdrawn=3,audit-llm-judgment.js,high,pass
2026-05-09T08:41:45.802Z,gates,3-4-final,gate_result,Running final repair pass,Consolidates fierce-critic + llm-judgment findings into one pass before PDF,audit-pipeline.js,high,n-a
2026-05-09T08:47:21.406Z,gates,3-4-final,gate_result,Final repair pass complete,Report ready for PDF,repair-report-final.js,high,pass
2026-05-09T08:47:21.407Z,gates,5,gate_result,mx.pdf.sh invoked,input=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-09/dotfusion-com-report.md output=/Users/tomcranstoun/Documents/MX-hub/mx-outputs/pdf/outreach/2026-05-09/dotfusion-com-report.pdf engine=chrome,mx.pdf.sh,high,n-a
2026-05-09T08:47:27.021Z,gates,5,gate_result,PDF generated: mx-outputs/pdf/outreach/2026-05-09/dotfusion-com-report.pdf,mx.pdf.sh exited 0 — engine=chrome EAA Level 0 size=unknown,mx.pdf.sh,high,pass
2026-05-09T08:47:27.022Z,gates,6,gate_result,Gates pipeline complete,All 6 gates passed; PDF generated,audit-pipeline.js,high,pass
2026-05-09T08:47:27.022Z,gates,end,phase_end,gates phase ended — SUCCESS,All gates passed; PDF generated successfully,audit-pipeline.js,high,pass
2026-05-09T09:01:53.177Z,gates,start,phase_start,gates phase started,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-09/dotfusion-com-report.md results=/Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/results,audit-pipeline.js,high,n-a
2026-05-09T09:01:53.178Z,gates,0,gate_result,audit-pipeline.js --gates invoked,report=/Users/tomcranstoun/Documents/MX-hub/mx-crm/outreach/2026-05-09/dotfusion-com-report.md results=/Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/results cache=/Users/tomcranstoun/Documents/MX-hub/mx-audit/domains/dotfusion.com/cache,audit-pipeline.js,high,n-a
